GLDS,Metal,ID,Description,n_pathway,observed_k,p_value,padj
GLDS-589,Al,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),1,1,0.002,0.011285714285714286
GLDS-589,Al,mmu04152,AMPK signaling pathway - Mus musculus (house mouse),1,1,0.002,0.011285714285714286
GLDS-589,Al,mmu04514,Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse),1,2,0,0
GLDS-589,Al,mmu04612,Antigen processing and presentation - Mus musculus (house mouse),1,2,0,0
GLDS-589,Al,mmu04640,Hematopoietic cell lineage - Mus musculus (house mouse),1,1,0,0
GLDS-589,Al,mmu04660,T cell receptor signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-589,Al,mmu05145,Toxoplasmosis - Mus musculus (house mouse),1,1,0.001,0.0079
GLDS-589,Al,mmu05162,Measles - Mus musculus (house mouse),1,2,0,0
GLDS-589,Al,mmu05163,Human cytomegalovirus infection - Mus musculus (house mouse),1,1,0.002,0.011285714285714286
GLDS-589,Al,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),1,1,0.001,0.0079
GLDS-589,Al,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),1,1,0.002,0.011285714285714286
GLDS-589,Al,mmu05169,Epstein-Barr virus infection - Mus musculus (house mouse),1,3,0,0
GLDS-589,Al,mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),1,2,0,0
GLDS-589,Al,mmu05416,Viral myocarditis - Mus musculus (house mouse),1,1,0,0
GLDS-589,Ca,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-589,Ca,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-589,Ca,mmu04022,cGMP-PKG signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-589,Ca,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-589,Ca,mmu04261,Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),1,2,0,0
GLDS-589,Ca,mmu04650,Natural killer cell mediated cytotoxicity - Mus musculus (house mouse),1,1,0,0
GLDS-589,Ca,mmu04933,AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse),1,2,0,0
GLDS-589,Ca,mmu05152,Tuberculosis - Mus musculus (house mouse),1,1,0,0
GLDS-589,Ca,mmu05161,Hepatitis B - Mus musculus (house mouse),1,1,0,0
GLDS-589,Ca,mmu05162,Measles - Mus musculus (house mouse),1,1,0,0
GLDS-589,Ca,mmu05163,Human cytomegalovirus infection - Mus musculus (house mouse),1,1,0,0
GLDS-589,Ca,mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),1,2,0,0
GLDS-589,Ca,mmu05205,Proteoglycans in cancer - Mus musculus (house mouse),1,1,0,0
GLDS-589,Ca,mmu05417,Lipid and atherosclerosis - Mus musculus (house mouse),1,1,0,0
GLDS-589,Cd,mmu00830,Retinol metabolism - Mus musculus (house mouse),1,9,0,0
GLDS-589,Cd,mmu00980,Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse),1,6,0,0
