GLDS,Metal,ID,Description,n_pathway,observed_k,p_value,padj
GLDS-673,Al,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-673,Al,mmu04152,AMPK signaling pathway - Mus musculus (house mouse),1,1,0.003,0.028636363636363637
GLDS-673,Al,mmu04350,TGF-beta signaling pathway - Mus musculus (house mouse),1,1,0.001,0.011666666666666665
GLDS-673,Al,mmu04621,NOD-like receptor signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-673,Al,mmu04660,T cell receptor signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-673,Al,mmu05135,Yersinia infection - Mus musculus (house mouse),1,1,0.001,0.011666666666666665
GLDS-673,Al,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),1,1,0,0
GLDS-673,Al,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),1,1,0.001,0.011666666666666665
GLDS-673,Al,mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),1,2,0,0
GLDS-673,Al,mmu05203,Viral carcinogenesis - Mus musculus (house mouse),1,1,0,0
GLDS-673,Al,mmu05340,Primary immunodeficiency - Mus musculus (house mouse),1,1,0.002,0.021
GLDS-673,Ca,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-673,Ca,mmu04022,cGMP-PKG signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-673,Ca,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu04068,FoxO signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (house mouse),1,2,0,0
GLDS-673,Ca,mmu04081,Hormone signaling - Mus musculus (house mouse),1,2,0,0
GLDS-673,Ca,mmu04137,Mitophagy - animal - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu04261,Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),1,2,0,0
GLDS-673,Ca,mmu04270,Vascular smooth muscle contraction - Mus musculus (house mouse),1,2,0,0
GLDS-673,Ca,mmu04722,Neurotrophin signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu04924,Renin secretion - Mus musculus (house mouse),1,2,0,0
GLDS-673,Ca,mmu04925,Aldosterone synthesis and secretion - Mus musculus (house mouse),1,2,0,0
GLDS-673,Ca,mmu04932,Non-alcoholic fatty liver disease - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu05146,Amoebiasis - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu05161,Hepatitis B - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),1,2,0,0
GLDS-673,Ca,mmu05205,Proteoglycans in cancer - Mus musculus (house mouse),1,1,0,0
GLDS-673,Ca,mmu05417,Lipid and atherosclerosis - Mus musculus (house mouse),1,1,0,0
GLDS-673,Cd,mmu00071,Fatty acid degradation - Mus musculus (house mouse),1,3,0,0
GLDS-673,Cd,mmu00280,"Valine, leucine and isoleucine degradation - Mus musculus (house mouse)",1,3,0,0
GLDS-673,Cd,mmu00520,Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse),1,1,0.011,0.0399
GLDS-673,Cd,mmu00541,Biosynthesis of various nucleotide sugars - Mus musculus (house mouse),1,1,0.014,0.0399
GLDS-673,Cd,mmu00561,Glycerolipid metabolism - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu00760,Nicotinate and nicotinamide metabolism - Mus musculus (house mouse),1,1,0.015,0.0399
GLDS-673,Cd,mmu00790,Folate biosynthesis - Mus musculus (house mouse),1,1,0.019,0.0399
GLDS-673,Cd,mmu03040,Spliceosome - Mus musculus (house mouse),1,1,0.016,0.0399
GLDS-673,Cd,mmu03083,Polycomb repressive complex - Mus musculus (house mouse),1,1,0.015,0.0399
GLDS-673,Cd,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),1,4,0,0
GLDS-673,Cd,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),1,1,0.017,0.0399
GLDS-673,Cd,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),1,7,0,0
GLDS-673,Cd,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (house mouse),1,1,0.013,0.0399
GLDS-673,Cd,mmu04137,Mitophagy - animal - Mus musculus (house mouse),1,4,0,0
GLDS-673,Cd,mmu04141,Protein processing in endoplasmic reticulum - Mus musculus (house mouse),1,1,0.017,0.0399
GLDS-673,Cd,mmu04142,Lysosome - Mus musculus (house mouse),1,1,0.014,0.0399
GLDS-673,Cd,mmu04146,Peroxisome - Mus musculus (house mouse),1,3,0,0
GLDS-673,Cd,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),1,5,0,0
GLDS-673,Cd,mmu04152,AMPK signaling pathway - Mus musculus (house mouse),1,3,0,0
GLDS-673,Cd,mmu04211,Longevity regulating pathway - Mus musculus (house mouse),1,1,0.013,0.0399
GLDS-673,Cd,mmu04261,Adrenergic signaling in cardiomyocytes - Mus musculus (house mouse),1,1,0.019,0.0399
GLDS-673,Cd,mmu04310,Wnt signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu04350,TGF-beta signaling pathway - Mus musculus (house mouse),1,1,0.015,0.0399
GLDS-673,Cd,mmu04380,Osteoclast differentiation - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu04611,Platelet activation - Mus musculus (house mouse),1,1,0.018,0.0399
GLDS-673,Cd,mmu04621,NOD-like receptor signaling pathway - Mus musculus (house mouse),1,7,0,0
GLDS-673,Cd,mmu04657,IL-17 signaling pathway - Mus musculus (house mouse),1,1,0.017,0.0399
GLDS-673,Cd,mmu04660,T cell receptor signaling pathway - Mus musculus (house mouse),1,1,0.02,0.04038461538461539
GLDS-673,Cd,mmu04722,Neurotrophin signaling pathway - Mus musculus (house mouse),1,3,0,0
GLDS-673,Cd,mmu04726,Serotonergic synapse - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu04728,Dopaminergic synapse - Mus musculus (house mouse),1,1,0.012,0.0399
GLDS-673,Cd,mmu04810,Regulation of actin cytoskeleton - Mus musculus (house mouse),1,1,0.015,0.0399
GLDS-673,Cd,mmu04814,Motor proteins - Mus musculus (house mouse),1,1,0.018,0.0399
GLDS-673,Cd,mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),1,1,0.018,0.0399
GLDS-673,Cd,mmu04925,Aldosterone synthesis and secretion - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu04971,Gastric acid secretion - Mus musculus (house mouse),1,1,0.019,0.0399
GLDS-673,Cd,mmu05135,Yersinia infection - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu05146,Amoebiasis - Mus musculus (house mouse),1,1,0.017,0.0399
GLDS-673,Cd,mmu05161,Hepatitis B - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),1,6,0,0
GLDS-673,Cd,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),1,7,0,0
GLDS-673,Cd,mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),1,8,0,0
GLDS-673,Cd,mmu05203,Viral carcinogenesis - Mus musculus (house mouse),1,7,0,0
GLDS-673,Cd,mmu05205,Proteoglycans in cancer - Mus musculus (house mouse),1,1,0.019,0.0399
GLDS-673,Cd,mmu05206,MicroRNAs in cancer - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu05210,Colorectal cancer - Mus musculus (house mouse),1,1,0.015,0.0399
GLDS-673,Cd,mmu05214,Glioma - Mus musculus (house mouse),1,1,0.02,0.04038461538461539
GLDS-673,Cd,mmu05215,Prostate cancer - Mus musculus (house mouse),1,1,0.016,0.0399
GLDS-673,Cd,mmu05224,Breast cancer - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cd,mmu05226,Gastric cancer - Mus musculus (house mouse),1,3,0,0
GLDS-673,Cd,mmu05417,Lipid and atherosclerosis - Mus musculus (house mouse),1,4,0,0
GLDS-673,Cr,mmu00071,Fatty acid degradation - Mus musculus (house mouse),1,1,0.003,0.01125
GLDS-673,Cr,mmu00240,Pyrimidine metabolism - Mus musculus (house mouse),1,1,0.008,0.021
GLDS-673,Cr,mmu00520,Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse),1,1,0.006,0.016578947368421054
GLDS-673,Cr,mmu00561,Glycerolipid metabolism - Mus musculus (house mouse),1,1,0.002,0.009130434782608696
GLDS-673,Cr,mmu00790,Folate biosynthesis - Mus musculus (house mouse),1,1,0.008,0.021
GLDS-673,Cr,mmu03040,Spliceosome - Mus musculus (house mouse),1,1,0.005,0.015
GLDS-673,Cr,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),1,1,0.004,0.013125
GLDS-673,Cr,mmu04060,Cytokine-cytokine receptor interaction - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cr,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cr,mmu04080,Neuroactive ligand-receptor interaction - Mus musculus (house mouse),1,1,0,0
GLDS-673,Cr,mmu04137,Mitophagy - animal - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cr,mmu04146,Peroxisome - Mus musculus (house mouse),1,1,0.003,0.01125
GLDS-673,Cr,mmu04151,PI3K-Akt signaling pathway - Mus musculus (house mouse),1,1,0.003,0.01125
GLDS-673,Cr,mmu04211,Longevity regulating pathway - Mus musculus (house mouse),1,1,0.004,0.013125
GLDS-673,Cr,mmu04310,Wnt signaling pathway - Mus musculus (house mouse),1,1,0.006,0.016578947368421054
GLDS-673,Cr,mmu04350,TGF-beta signaling pathway - Mus musculus (house mouse),1,1,0.003,0.01125
GLDS-673,Cr,mmu04380,Osteoclast differentiation - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cr,mmu04390,Hippo signaling pathway - Mus musculus (house mouse),1,1,0.002,0.009130434782608696
GLDS-673,Cr,mmu04517,IgSF CAM signaling - Mus musculus (house mouse),1,1,0.002,0.009130434782608696
GLDS-673,Cr,mmu04611,Platelet activation - Mus musculus (house mouse),1,1,0.001,0.005833333333333333
GLDS-673,Cr,mmu04621,NOD-like receptor signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cr,mmu04722,Neurotrophin signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cr,mmu04814,Motor proteins - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cr,mmu04924,Renin secretion - Mus musculus (house mouse),1,1,0.003,0.01125
GLDS-673,Cr,mmu05020,Prion disease - Mus musculus (house mouse),1,1,0,0
GLDS-673,Cr,mmu05135,Yersinia infection - Mus musculus (house mouse),1,1,0.001,0.005833333333333333
GLDS-673,Cr,mmu05146,Amoebiasis - Mus musculus (house mouse),1,1,0.005,0.015
GLDS-673,Cr,mmu05161,Hepatitis B - Mus musculus (house mouse),1,1,0.002,0.009130434782608696
GLDS-673,Cr,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),1,9,0,0
GLDS-673,Cr,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),1,9,0,0
GLDS-673,Cr,mmu05171,Coronavirus disease - COVID-19 - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cr,mmu05203,Viral carcinogenesis - Mus musculus (house mouse),1,8,0,0
GLDS-673,Cr,mmu05205,Proteoglycans in cancer - Mus musculus (house mouse),1,1,0.004,0.013125
GLDS-673,Cr,mmu05206,MicroRNAs in cancer - Mus musculus (house mouse),1,2,0,0
GLDS-673,Cr,mmu05210,Colorectal cancer - Mus musculus (house mouse),1,1,0.006,0.016578947368421054
GLDS-673,Cr,mmu05214,Glioma - Mus musculus (house mouse),1,1,0.005,0.015
GLDS-673,Cr,mmu05215,Prostate cancer - Mus musculus (house mouse),1,1,0.004,0.013125
GLDS-673,Cr,mmu05224,Breast cancer - Mus musculus (house mouse),1,1,0.001,0.005833333333333333
