GLDS,Metal,ID,Description,n_pathway,observed_k,p_value,padj
GLDS-674,Al,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-674,Al,mmu04144,Endocytosis - Mus musculus (house mouse),1,1,0,0
GLDS-674,Al,mmu04152,AMPK signaling pathway - Mus musculus (house mouse),1,1,0.001,0.011142857142857142
GLDS-674,Al,mmu04350,TGF-beta signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-674,Al,mmu04514,Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse),1,2,0,0
GLDS-674,Al,mmu04660,T cell receptor signaling pathway - Mus musculus (house mouse),1,1,0.002,0.020800000000000003
GLDS-674,Al,mmu04936,Alcoholic liver disease - Mus musculus (house mouse),1,1,0.001,0.011142857142857142
GLDS-674,Al,mmu05135,Yersinia infection - Mus musculus (house mouse),1,1,0,0
GLDS-674,Al,mmu05160,Hepatitis C - Mus musculus (house mouse),1,2,0,0
GLDS-674,Al,mmu05162,Measles - Mus musculus (house mouse),1,2,0,0
GLDS-674,Al,mmu05163,Human cytomegalovirus infection - Mus musculus (house mouse),1,1,0,0
GLDS-674,Al,mmu05164,Influenza A - Mus musculus (house mouse),1,2,0,0
GLDS-674,Al,mmu05166,Human T-cell leukemia virus 1 infection - Mus musculus (house mouse),1,1,0.001,0.011142857142857142
GLDS-674,Al,mmu05167,Kaposi sarcoma-associated herpesvirus infection - Mus musculus (house mouse),1,1,0.001,0.011142857142857142
GLDS-674,Al,mmu05170,Human immunodeficiency virus 1 infection - Mus musculus (house mouse),1,1,0.001,0.011142857142857142
GLDS-674,Ca,mmu04010,MAPK signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-674,Ca,mmu04014,Ras signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-674,Ca,mmu04020,Calcium signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-674,Ca,mmu04022,cGMP-PKG signaling pathway - Mus musculus (house mouse),1,2,0,0
