GLDS,Metal,ID,Description,n_pathway,observed_k,p_value,padj
GLDS-248,Al,mmu03320,PPAR signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-248,Al,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),1,1,0.001,0.0128
GLDS-248,Al,mmu04152,AMPK signaling pathway - Mus musculus (house mouse),1,1,0,0
GLDS-248,Al,mmu04936,Alcoholic liver disease - Mus musculus (house mouse),1,1,0.001,0.0128
GLDS-248,Al,mmu05162,Measles - Mus musculus (house mouse),1,2,0,0
GLDS-248,Ca,mmu04081,Hormone signaling - Mus musculus (house mouse),1,2,0,0
GLDS-248,Ca,mmu04140,Autophagy - animal - Mus musculus (house mouse),1,1,0,0
GLDS-248,Ca,mmu04145,Phagosome - Mus musculus (house mouse),1,1,0,0
GLDS-248,Ca,mmu04270,Vascular smooth muscle contraction - Mus musculus (house mouse),1,2,0,0
GLDS-248,Ca,mmu04932,Non-alcoholic fatty liver disease - Mus musculus (house mouse),1,1,0,0
GLDS-248,Ca,mmu04936,Alcoholic liver disease - Mus musculus (house mouse),1,1,0,0
GLDS-248,Ca,mmu05162,Measles - Mus musculus (house mouse),1,1,0,0
GLDS-248,Ca,mmu05415,Diabetic cardiomyopathy - Mus musculus (house mouse),1,2,0,0
GLDS-248,Cd,mmu00010,Glycolysis / Gluconeogenesis - Mus musculus (house mouse),1,3,0,0
GLDS-248,Cd,mmu00020,Citrate cycle (TCA cycle) - Mus musculus (house mouse),1,2,0,0
GLDS-248,Cd,mmu00030,Pentose phosphate pathway - Mus musculus (house mouse),1,1,0.011,0.02933333333333333
GLDS-248,Cd,mmu00051,Fructose and mannose metabolism - Mus musculus (house mouse),1,2,0,0
GLDS-248,Cd,mmu00071,Fatty acid degradation - Mus musculus (house mouse),1,6,0,0
GLDS-248,Cd,mmu00100,Steroid biosynthesis - Mus musculus (house mouse),1,1,0.023,0.04329411764705882
GLDS-248,Cd,mmu00140,Steroid hormone biosynthesis - Mus musculus (house mouse),1,16,0,0
GLDS-248,Cd,mmu00280,"Valine, leucine and isoleucine degradation - Mus musculus (house mouse)",1,3,0,0
GLDS-248,Cd,mmu00561,Glycerolipid metabolism - Mus musculus (house mouse),1,3,0,0
GLDS-248,Cd,mmu00590,Arachidonic acid metabolism - Mus musculus (house mouse),1,12,0,0
GLDS-248,Cd,mmu00620,Pyruvate metabolism - Mus musculus (house mouse),1,3,0,0
GLDS-248,Cd,mmu00670,One carbon pool by folate - Mus musculus (house mouse),1,1,0.018,0.036
GLDS-248,Cd,mmu00830,Retinol metabolism - Mus musculus (house mouse),1,22,0,0
GLDS-248,Cd,mmu03010,Ribosome - Mus musculus (house mouse),1,2,0,0
GLDS-248,Cd,mmu03320,PPAR signaling pathway - Mus musculus (house mouse),1,8,0,0
GLDS-248,Cd,mmu04066,HIF-1 signaling pathway - Mus musculus (house mouse),1,2,0,0
GLDS-248,Cd,mmu04110,Cell cycle - Mus musculus (house mouse),1,1,0.014,0.03446153846153847
GLDS-248,Cd,mmu04140,Autophagy - animal - Mus musculus (house mouse),1,3,0,0
GLDS-248,Cd,mmu04145,Phagosome - Mus musculus (house mouse),1,9,0,0
GLDS-248,Cd,mmu04146,Peroxisome - Mus musculus (house mouse),1,3,0,0
GLDS-248,Cd,mmu04152,AMPK signaling pathway - Mus musculus (house mouse),1,3,0,0
GLDS-248,Cd,mmu04211,Longevity regulating pathway - Mus musculus (house mouse),1,1,0.016,0.03531034482758621
GLDS-248,Cd,mmu04270,Vascular smooth muscle contraction - Mus musculus (house mouse),1,3,0,0
GLDS-248,Cd,mmu04610,Complement and coagulation cascades - Mus musculus (house mouse),1,5,0,0
GLDS-248,Cd,mmu04814,Motor proteins - Mus musculus (house mouse),1,1,0.02,0.03878787878787879
GLDS-248,Cd,mmu04820,Cytoskeleton in muscle cells - Mus musculus (house mouse),1,1,0.015,0.03531034482758621
GLDS-248,Cd,mmu04936,Alcoholic liver disease - Mus musculus (house mouse),1,3,0,0
GLDS-248,Cd,mmu04979,Cholesterol metabolism - Mus musculus (house mouse),1,1,0.014,0.03446153846153847
GLDS-248,Cd,mmu05010,Alzheimer disease - Mus musculus (house mouse),1,1,0.018,0.036
GLDS-248,Cd,mmu05012,Parkinson disease - Mus musculus (house mouse),1,1,0.016,0.03531034482758621
GLDS-248,Cd,mmu05014,Amyotrophic lateral sclerosis - Mus musculus (house mouse),1,1,0.017,0.036
GLDS-248,Cd,mmu05162,Measles - Mus musculus (house mouse),1,5,0,0
GLDS-248,Cd,mmu05208,Chemical carcinogenesis - reactive oxygen species - Mus musculus (house mouse),1,2,0,0
GLDS-248,Cd,mmu05322,Systemic lupus erythematosus - Mus musculus (house mouse),1,4,0,0
