Gene Symbol,Gene ID,Interaction Count,Organism Count
APP,351,1821,3
TF,7018,21,1
TNF,7124,19,4
ACHE,43,12,1
IL6,3569,12,3
CAT,847,10,3
BGLAP,632,9,2
IL1B,3553,9,2
BAX,581,7,3
MAPT,4137,7,2
NFE2L2,4780,7,2
BCL2,596,6,2
CASP3,836,6,2
ESR1,2099,5,1
HMOX1,3162,5,1
PTGS2,5743,5,1
PTH,5741,5,1
RELA,5970,5,2
VEGFA,7422,5,2
ACO2,50,4,3
ALOX5,240,4,1
ATXN3,4287,4,2
CDH1,999,4,1
CHAT,1103,4,1
ESR2,2100,4,1
MAP1LC3B,81631,4,1
PINK1,65018,4,1
PRKN,5071,4,1
SNAI1,6615,4,1
SOD1,6647,4,1
SQSTM1,8878,4,1
VIM,7431,4,2
BBOX1,8424,3,1
CASR,846,3,1
COL1A1,1277,3,1
GFAP,2670,3,2
GNAQ,2776,3,1
HK1,3098,3,1
MTR,4548,3,1
NEFL,4747,3,1
SNCA,6622,3,2
YWHAZ,7534,3,1
ALPL,249,2,1
ALT,42127,2,1
BCAP29,55973,2,0
CASP9,842,2,1
CCL7,6354,2,1
CRP,1401,2,1
CXCL12,6387,2,0
CXCL8,3576,2,1
CYCS,54205,2,1
EGLN3,112399,2,1
F8,2157,2,1
G6PD,2539,2,2
GCHFR,2644,2,1
GPX1,2876,2,1
GSR,2936,2,1
IGF2,3481,2,1
IGFBP5,3488,2,1
IL4,3565,2,1
JUN,3725,2,1
KLF6,1316,2,0
MANF,7873,2,1
MMP9,4318,2,2
MYC,4609,2,1
NEFH,4744,2,1
NES,10763,2,1
NFKB1,4790,2,1
NOS2,4843,2,2
OGDH,4967,2,2
PARP9,83666,2,1
PDCD1LG2,80380,2,0
PLCD1,5333,2,1
PSMB8,5696,2,1
PTGS1,5742,2,1
RPL37,6167,2,1
S100B,6285,2,1
SCGB1A1,7356,2,2
STAT1,6772,2,1
TFRC,7037,2,1
TTTY12,83867,2,0
UBA52,7311,2,1
USH1C,10083,2,0
VCAM1,7412,2,1
XAF1,54739,2,1
ZNF530,348327,2,0
AAK1,22848,1,0
AARS2,57505,1,0
ABCA1,19,1,0
ABCA10,10349,1,0
ABCA7,10347,1,0
ABCA8,10351,1,0
ABCB1,5243,1,1
ABCF2,10061,1,0
ABCG8,64241,1,0
ABHD10,55347,1,0
ABR,29,1,0
ACADL,33,1,0
ACAP3,116983,1,0
ACAT2,39,1,0
ACCS,84680,1,0
ACE,1636,1,1
ACLY,47,1,1
ACO1,48,1,1
ACOT12,134526,1,0
ACOXL,55289,1,0
ACP6,51205,1,0
ACR,49,1,0
ACSBG2,81616,1,0
ACSL4,2182,1,0
ACSM1,116285,1,0
ACSS2,55902,1,0
ACTA1,58,1,0
