Gene Symbol,Gene ID,Interaction Count,Organism Count
CACNA1E,777,23,3
CACNA1B,774,18,1
CACNA1G,8913,11,1
CHRNA2,1135,10,1
CHRNB4,1143,10,1
CACNA1D,776,7,3
DRD2,1813,7,1
KCNJ2,3759,7,4
CACNA1F,778,5,1
GNG2,54331,5,1
OPRM1,4988,5,1
F2RL1,2150,4,2
GNG3,2785,4,1
GNGT1,2792,4,1
TRPC3,7222,4,2
TRPC6,7225,4,1
AVP,551,3,0
CACNA1C,775,3,2
CACNA2D1,781,3,2
GNB1,2782,3,1
GNB2,2783,3,1
GNB3,2784,3,1
GNB4,59345,3,1
KCNJ4,3761,3,3
CACNB4,785,2,2
CHRNA4,1137,2,1
CHRNB2,1141,2,1
F2,2147,2,1
KCNJ10,3766,2,1
KCNJ12,3768,2,2
KCNJ14,3770,2,2
KCNK1,3775,2,1
NPR3,4883,2,1
OPRD1,4985,2,1
OPRK1,4986,2,1
SLC12A4,6560,2,2
TRPC4,7223,2,1
TRPM6,140803,2,1
TRPV6,55503,2,1
ACHE,43,1,1
ADRA1A,148,1,1
BIB,34330,1,1
CACNA1A,773,1,1
CACNA1H,8912,1,1
CACNA1I,8911,1,1
CACNA2D2,9254,1,1
CACNB3,784,1,1
CACNG2,10369,1,1
CACNG3,10368,1,1
CAT,847,1,1
CHRNA7,1139,1,1
FXYD2,486,1,1
GNB5,10681,1,1
IL6,3569,1,1
KCNA10,3744,1,1
KCNE1,3753,1,1
KCNH1,3756,1,1
KCNH3,23416,1,1
KCNJ15,3772,1,1
KCNJ3,3760,1,1
KCNJ6,3763,1,1
KCNJ8,3764,1,1
KCNK18,338567,1,1
KCNK9,51305,1,1
KCNQ1,3784,1,1
MIR30A,407029,1,1
MMP14,4323,1,1
ORK1,32020,1,1
P2RX7,5027,1,1
PLCB1,23236,1,1
PTK2,5747,1,1
SGK1,6446,1,1
SGK2,10110,1,1
SGK3,23678,1,1
SLC12A7,10723,1,1
SLC22A12,116085,1,1
SLC22A3,6581,1,1
SLC8A1,6546,1,1
SOD1,6647,1,1
TNF,7124,1,1
TSC22D3,1831,1,1
UROD,7389,1,1
