Gene Symbol,Gene ID,Interaction Count,Organism Count
TRPV1,7442,88,6
CASR,846,47,2
CYSLTR1,10800,36,2
HSTRPA,411768,30,2
TRPA1,8989,27,3
TRPC6,7225,27,3
TRPC5,7224,26,2
AGT,183,25,3
LEP,3952,22,2
KRT1,3848,21,2
PON1,5444,21,2
TRPC3,7222,21,3
AVP,551,20,1
TRPM8,79054,20,4
APP,351,19,2
RYR1,6261,19,3
ADRA1A,148,18,2
CALCA,796,17,3
EDN1,1906,17,4
KNG1,3827,17,3
TRPV6,55503,17,3
CHRM1,1128,16,3
NGF,4803,16,1
PTH,5741,15,3
CHRNA7,1139,14,3
LORICRIN,4014,14,1
TRPM2,7226,13,4
ATP2A2,488,12,3
HRH1,3269,12,2
MYL9,10398,12,3
TRPC1,7220,12,3
AKT1,207,11,3
CXCL8,3576,11,2
CACNA1H,8912,10,3
CNR1,1268,10,1
F2,2147,10,1
IGF1,3479,10,2
IGF2,3481,10,1
SOD1,6647,10,4
ADRA1B,147,9,1
CACNA1D,776,9,3
CACNA1G,8913,9,2
CYCS,54205,9,2
ESRRG,2104,9,1
GPBAR1,151306,9,3
OXT,5020,9,3
PDK1,5163,9,2
SLC8A1,6546,9,4
ADRA1D,146,8,1
CALM1,801,8,2
CHRNB2,1141,8,2
HRH4,59340,8,1
MAPK1,5594,8,4
MAPK3,5595,8,4
NFATC2,4773,8,1
OAMB,43982,8,2
TAC1,6863,8,3
TRPM7,54822,8,2
AVPR1A,552,7,1
BDNF,627,7,2
CYSLTR2,57105,7,1
IL11,3589,7,1
INS1,16333,7,1
MYLK,4638,7,3
NOS3,4846,7,4
P2RY2,5029,7,3
WNT5A,7474,7,1
ABCB1,5243,6,2
BDKRB1,623,6,2
BDKRB2,624,6,2
C5,727,6,2
CACNA1C,775,6,2
CACNA1E,777,6,2
CACNA2D1,781,6,2
CACNB3,784,6,2
CAPN1,823,6,2
CASP3,836,6,3
CAT,847,6,2
CTNNB1,1499,6,1
CYP1A1,1543,6,2
EGF,1950,6,3
GRM1,2911,6,1
NRXN1,9378,6,2
OR5D18,219438,6,1
PLCG2,5336,6,2
PRKCE,5581,6,3
RYR2,6262,6,4
SLC2A2,6514,6,2
SOD2,6648,6,2
SPHK1,8877,6,2
STIM1,6786,6,3
TRPC4,7223,6,2
TRPV3,162514,6,2
ADCYAP1,116,5,2
CCL2,6347,5,1
CD28,940,5,1
CXCL9,4283,5,1
CXCR2,3579,5,2
CXCR3,2833,5,1
DRD2,1813,5,2
EDN3,1908,5,2
FASL,14103,5,1
G6PC1,2538,5,2
GSR,2936,5,2
HRH3,11255,5,1
HSPA5,3309,5,1
KISS1,3814,5,1
KISS1R,84634,5,1
MGP,4256,5,2
PEPCK1,37131,5,1
SEC61A1,29927,5,1
SLC23A2,9962,5,1
TBXA2R,6915,5,2
VDR,7421,5,3
VEGFA,7422,5,2
ADRA2B,151,4,1
CACNA1B,774,4,1
CALB1,793,4,2
CREB1,1385,4,1
CTSS,1520,4,1
CXCL1,2919,4,2
DNAJB11,51726,4,1
DNAJC3,5611,4,1
GABBR1,2550,4,2
HPCA,3208,4,1
IFNG,3458,4,2
IL1B,3553,4,3
IL6,3569,4,1
KCNJ11,3767,4,1
KCNMA1,3778,4,2
P2RY1,5028,4,2
PAFAH1B1,5048,4,2
PDK4,5166,4,1
PLA2G1B,5319,4,1
PTGS2,5743,4,4
SELENOT,51714,4,1
SLC2A1,6513,4,1
SPP1,6696,4,2
SPTAN1,6709,4,1
TNF,7124,4,2
TRPM4,54795,4,3
TRPM6,140803,4,1
TRPV2,51393,4,1
ACO2,50,3,1
ADCY9,115,3,1
ADRB2,154,3,2
ATP2A1,487,3,3
ATP2B1,490,3,2
BEST1,7439,3,2
BMP4,652,3,2
CACNA1I,8911,3,1
CACNA2D2,9254,3,1
CACNA2D4,93589,3,1
CASP9,842,3,2
CFTR,1080,3,0
CHRNA4,1137,3,1
CNR2,1269,3,1
CXCL12,6387,3,1
CYP1B1,1545,3,2
F2RL1,2150,3,2
FXYD2,486,3,1
GABBR2,9568,3,1
IFT88,8100,3,1
ITGB1BP2,26548,3,2
ITPR2,3709,3,1
KCNN3,3782,3,1
KDR,3791,3,2
NAIP,4671,3,1
NEFL,4747,3,1
NOX1,27035,3,1
NPPC,4880,3,1
ORAI1,84876,3,2
P2RX7,5027,3,1
PICK1,9463,3,1
PKD1,5310,3,2
PKD2,5311,3,2
PLA2G2A,5320,3,1
PLA2G6,8398,3,1
PPARA,5465,3,1
PPP3R1,5534,3,1
PRKCG,5582,3,1
PRKD1,5587,3,3
PROK2,60675,3,1
PSEN1,5663,3,0
PYGL,5836,3,1
REN,5972,3,1
RPS6KB1,6198,3,2
S100A13,6284,3,1
SLC8A3,6547,3,2
SLC9A1,6548,3,1
SRC,6714,3,1
TGFA,7039,3,1
TRPV4,59341,3,2
TRPV5,56302,3,2
ADCY5,111,2,2
ADGRL1,22859,2,1
ADGRL2,23266,2,1
ADRA2A,150,2,1
ADRA2C,152,2,1
AGO2,27161,2,1
ALDH2,217,2,2
ANO1,55107,2,1
ANXA5,308,2,1
APOE,348,2,2
ARRB2,409,2,2
ATP2B4,493,2,1
CACNA1A,773,2,1
CALR,811,2,1
CAMK2D,817,2,2
CAPNS1,826,2,1
CASP7,840,2,1
CAV1,857,2,1
CCL7,6354,2,1
CCND1,595,2,2
CD38,952,2,1
CDK5R1,8851,2,1
CLN8,2055,2,1
CP,1356,2,2
CXCL10,3627,2,1
CXCL2,2920,2,1
CXCL5,6374,2,1
CXCR1,3577,2,1
CYBB,1536,2,0
CYP24A1,1591,2,1
CYP2E1,1571,2,2
DMD,1756,2,1
EDN2,1907,2,1
EGR1,1958,2,1
F2RL3,9002,2,2
F8,2157,2,1
FGF23,8074,2,1
FKBP1B,2281,2,1
GAST,2520,2,1
GCLC,2729,2,2
GFAP,2670,2,1
GHR,2690,2,1
GIP,2695,2,1
GNA11,2767,2,1
GNAS,2778,2,1
HCAR3,8843,2,1
HOMER1,9456,2,1
HSP90AA1,3320,2,1
HTR2B,3357,2,1
IGFBP5,3488,2,1
ITGA2,3673,2,1
ITPR1,3708,2,1
IVL,3713,2,1
KCNE1,3753,2,1
KCNMB1,3779,2,1
KCNN2,3781,2,1
KCNN4,3783,2,1
KL,9365,2,1
MAP2K1,5604,2,1
MMP1,4312,2,1
MYBPC3,4607,2,1
NEDD4L,23327,2,1
NFKBIA,4792,2,2
NOS1,4842,2,1
OGDH,4967,2,1
OXTR,5021,2,0
P2RX3,5024,2,1
P2RY4,5030,2,1
PDHA1,5160,2,1
POMC,5443,2,0
PON2,5445,2,1
PPP2CA,5515,2,1
PRKCA,5578,2,1
PRKCB,5579,2,1
PRLR,5618,2,2
PROKR1,10887,2,1
PTGER1,5731,2,1
PTGER3,5733,2,1
PTK2B,2185,2,2
RPTOR,57521,2,1
RYR3,6263,2,1
S100A2,6273,2,1
S100A8,6279,2,1
S100A9,6280,2,1
SCGB1A1,7356,2,1
SERPINE1,5054,2,1
SLC2A4,6517,2,1
SNCA,6622,2,1
SYN2,6854,2,1
TGFB1,7040,2,2
TGM1,7051,2,1
TNFAIP6,7130,2,1
TNFRSF11B,4982,2,1
TNFSF11,8600,2,1
TP53,7157,2,1
TRPC7,57113,2,0
TTN,7273,2,1
UBE2G1,7326,2,1
UCN,7349,2,1
ABCB11,8647,1,1
ABCC2,1244,1,1
ACTB,60,1,1
ADM,133,1,1
AGTR1A,11607,1,1
