Gene Symbol,Gene ID,Interaction Count,Organism Count
CASP3,836,236,12
CAT,847,172,28
TNF,7124,161,6
HMOX1,3162,159,10
BCL2,596,141,8
NFE2L2,4780,137,6
BAX,581,122,7
MAPK1,5594,122,6
IL1B,3553,119,5
MAPK3,5595,116,5
IL6,3569,105,5
PARP1,142,97,6
SQSTM1,8878,77,7
SOD1,6647,75,12
AKT1,207,74,4
MT2A,4502,71,7
CASP9,842,68,10
DDIT3,1649,68,5
MT1,17748,65,12
APOE,348,62,3
MAP1LC3B,81631,60,9
TP53,7157,56,8
MT1A,4489,54,7
GPT,2875,53,7
MT2,17750,52,13
NQO1,1728,52,6
PTGS2,5743,52,5
RELA,5970,52,6
HSPA5,3309,51,8
JUN,3725,48,5
SOD2,6648,46,10
MAPK8,5599,44,4
BECN1,8678,43,9
NLRP3,114548,42,4
GSR,2936,41,7
EIF2AK3,9451,39,5
ATG5,9474,38,7
MMP9,4318,38,6
FOS,2353,37,4
NOS2,4843,37,5
TNFSF11,8600,37,2
ESR1,2099,36,5
CASP8,841,35,8
SLC39A8,64116,35,5
ATF4,468,34,5
CCND1,595,33,5
CXCL8,3576,33,2
IL10,3586,33,5
MTF1,4520,33,4
MYC,4609,32,4
CYP1A1,1543,31,6
PKM,5315,31,3
CASP1,834,29,4
FOXO3,2309,29,5
MAPK9,5601,28,4
CASP12,100506742,27,4
ERN1,2081,27,6
HAVCR1,26762,27,3
MMP2,4313,27,3
CDKN1A,1026,26,4
GSK3B,2932,26,3
SIRT1,23411,26,4
SLC11A2,4891,26,4
GPX4,2879,25,4
MLKL,197259,25,4
MT3,4504,25,3
MTOR,2475,25,6
TGFB1,7040,25,4
KEAP1,9817,24,4
LDHA,3939,24,5
ATF6,22926,23,5
GCLC,2729,23,6
STAR,6770,23,2
HIF1A,3091,22,4
MT1X,4501,22,3
PPARGC1A,10891,22,5
SP1,6667,22,3
CCL2,6347,21,4
CSF1R,1436,21,1
G6PD,2539,21,6
GPER1,2852,21,1
GPX1,2876,21,6
HSD11B2,3291,21,3
HSPA1A,3303,21,5
PPARG,5468,21,5
RIPK3,11035,21,4
VEGFA,7422,21,4
ACHE,43,20,6
ALB,213,20,4
CYP11A1,1583,20,2
SLC30A1,7779,20,4
XBP1,7494,20,3
CYCS,54205,19,6
EGFR,1956,19,2
NFATC1,4772,19,1
OCLN,100506658,19,4
RIPK1,8737,19,3
SLC39A14,23516,19,4
COL1A1,1277,18,3
EIF2A,83939,18,3
CDH1,999,17,4
FOXO1,2308,17,5
MT1G,4495,17,1
STAT3,6774,17,6
TFE3,7030,17,1
BID,637,16,2
CTH,1491,16,4
HSP90B1,7184,16,7
IL18,3606,16,4
LCN2,3934,16,2
MAPK14,1432,16,3
MFN2,9927,16,5
TLR4,7099,16,3
ACP5,54,15,3
AR,367,15,3
CTSK,1513,15,2
CXCL2,2920,15,3
DUSP1,1843,15,2
HK2,3099,15,3
IFNG,3458,15,4
LAMP1,3916,15,3
MT1F,4494,15,1
SLC2A1,6513,15,3
SLC40A1,30061,15,3
TJP1,7082,15,3
CDK1,983,14,5
CTNNB1,1499,14,3
CTSB,1508,14,3
CYP17A1,1586,14,2
GCLM,2730,14,5
HMGA2,8091,14,2
LHB,3972,14,2
MT1E,4493,14,2
SIRT3,23410,14,3
TNFRSF1A,7132,14,4
TRP53,22059,14,1
TXNRD1,7296,14,3
AHR,196,13,4
ALAD,210,13,3
APP,351,13,3
FN1,2335,13,4
FSHB,2488,13,3
GJA1,2697,13,2
H2AX,3014,13,3
HSF1,3297,13,4
ITPR3,3710,13,1
MAPT,4137,13,3
METTL3,56339,13,2
PINK1,65018,13,2
RUNX2,860,13,3
STRA8,346673,13,1
CCNE1,898,12,3
CREB1,1385,12,4
DNAJB1,3337,12,4
EIF2S1,1965,12,3
FTH1,2495,12,4
GAPDH,2597,12,7
HSD17B3,3293,12,3
IDH2,3418,12,3
IL4,3565,12,4
MFN1,55669,12,4
MPO,4353,12,3
NFKBIA,4792,12,4
SLC39A10,57181,12,6
SLC7A11,23657,12,3
VIM,7431,12,2
XAF1,54739,12,1
ABCG2,9429,11,2
ACTA2,59,11,3
AIFM1,9131,11,3
BMP4,652,11,2
COX1,4512,11,7
CRYAB,1410,11,3
CXCL12,6387,11,2
CYP7A1,1581,11,4
GSTP1,2950,11,5
HSPD1,3329,11,6
MIR34A,407040,11,1
MT1M,4499,11,1
NFE2L1,4779,11,2
NUPR1,26471,11,1
PCNA,5111,11,2
PHGDH,26227,11,1
PPARA,5465,11,4
PRDX1,5052,11,5
PRKN,5071,11,3
PYCARD,29108,11,3
SERPINE1,5054,11,3
VDR,7421,11,3
AKR1C3,8644,10,1
ATP6V0D2,245972,10,3
CCNB1,891,10,4
CTSD,1509,10,3
GALNT3,2591,10,2
HSD3B1,3283,10,3
HSP90AA1,3320,10,5
HSPA8,3312,10,5
IL1A,3552,10,4
MT1H,4496,10,1
PMAIP1,5366,10,4
PRL,5617,10,3
SLC5A1,6523,10,3
SMAD3,4088,10,1
VMA21,203547,10,2
AKT2,208,9,3
ATF6B,1388,9,2
BAK1,578,9,4
BBC3,27113,9,4
BCL2L1,598,9,3
CLDN3,1365,9,2
CYP24A1,1591,9,2
EGF,1950,9,1
FIS1,51024,9,3
GSDMD,79792,9,2
GSK3A,2931,9,3
GSTA1,2938,9,3
HSP70,403612,9,7
HSPB1,3315,9,3
IGF1,3479,9,5
ITPR1,3708,9,3
MIR6769B,102466202,9,2
MTF-1,39089,9,2
NR4A1,3164,9,2
SLC2A2,6514,9,2
SNAI1,6615,9,2
STAT1,6772,9,3
TIMP2,7077,9,4
TXNIP,10628,9,2
UBE2D3,7323,9,3
VCAM1,7412,9,2
ACSL4,2182,8,3
AIM2,9447,8,1
AKT3,10000,8,2
ATG7,10533,8,4
CACNA1G,8913,8,1
CALM1,801,8,1
COX4,35279,8,4
CYP2A5,13087,8,2
DLD,1738,8,3
E2F1,1869,8,3
ESRRG,2104,8,1
GC,2638,8,3
GGT1,2678,8,2
GSN,2934,8,3
GSTM1,2944,8,3
GSTO1,9446,8,4
HMGCR,3156,8,3
HSPA6,3310,8,2
ICAM1,3383,8,3
LHCGR,3973,8,2
LITAF,9516,8,1
MIF,4282,8,3
MIR181A2,406954,8,1
MT1B,4490,8,2
MTL-2,179899,8,1
NOS3,4846,8,3
NOX4,50507,8,3
OGG1,4968,8,3
PGR,5241,8,2
S100B,6285,8,1
SLC47A1,55244,8,2
SPP1,6696,8,3
TGFB3,7043,8,2
TNFRSF11B,4982,8,3
VMP1,81671,8,2
ALPL,249,7,3
ANXA1,301,7,2
ARL6,84100,7,1
B2M,567,7,3
BACH1,571,7,1
BDNF,627,7,3
CAMK2A,815,7,1
CASP7,840,7,3
CCN2,1490,7,3
CCNB2,9133,7,3
CDH2,1000,7,2
CYBB,1536,7,2
CYP1A,140634,7,3
DES,1674,7,3
FADS1,3992,7,3
FASN,2194,7,5
G6PC1,2538,7,3
HSPA1B,3304,7,2
HSPH1,10808,7,3
IRS1,3667,7,3
JUNB,3726,7,3
LAMP2,3920,7,3
LGR4,55366,7,3
LPL,4023,7,4
MAP1LC3A,84557,7,5
MAP2K1,5604,7,3
MAP3K7,6885,7,3
MIOX,55586,7,3
MKI67,4288,7,3
MTL-1,179060,7,1
MTNA,41202,7,1
ND1,4535,7,3
NFKB1,4790,7,3
PFKFB3,5209,7,4
PLAUR,5329,7,3
PRKAA1,5562,7,4
RAB7A,7879,7,2
RARA,5914,7,2
RYR1,6261,7,2
S100A1,6271,7,2
SCD,6319,7,6
SLC16A1,6566,7,1
SLC25A4,291,7,2
SLC30A2,7780,7,3
STK11,6794,7,1
TIMP3,7078,7,3
TRPV6,55503,7,3
UCHL1,7345,7,1
YTHDF2,51441,7,1
ABCB1,5243,6,3
ALDH1A1,216,6,3
APEX1,328,6,3
ARG1,383,6,4
BAG3,9531,6,3
BNIP3,664,6,3
CACNA1S,779,6,1
CALR,811,6,4
CD34,947,6,2
CFTR,1080,6,3
CLU,1191,6,3
CNTF,1270,6,2
COL3A1,1281,6,3
COL4A1,1282,6,4
CYP27B1,1594,6,1
DNM1L,10059,6,2
DNMT1,1786,6,4
DPP4,1803,6,3
EGR1,1958,6,2
ESR2,2100,6,1
FABP5,2171,6,3
FGF15,14170,6,1
FLT1,2321,6,3
FOSB,2354,6,2
FUNDC1,139341,6,3
