Gene Symbol,Gene ID,Interaction Count,Organism Count
CAT,847,74,15
CASP3,836,42,3
TP53,7157,41,3
NQO1,1728,38,4
CYP1A1,1543,33,2
HIF1A,3091,30,3
GSR,2936,24,9
BAX,581,21,4
HMOX1,3162,21,3
IL6,3569,20,2
TNF,7124,20,3
SOD1,6647,19,7
JUN,3725,18,3
LEPR,3953,18,1
SOD2,6648,18,6
MLH1,4292,17,3
INS1,16333,16,2
MAPK1,5594,16,3
AKT1,207,15,3
BCL2,596,15,3
MAPK3,5595,15,3
RELA,5970,15,3
SHH,6469,15,2
H2AX,3014,14,2
MAPK8,5599,14,2
MIR21,406991,13,2
PTGS2,5743,13,2
BNIP3,664,12,2
PARP1,142,12,3
CXCL8,3576,11,1
GPT,2875,11,3
PDCD4,27250,11,2
STAT1,6772,11,2
IL1B,3553,10,3
MAP2K7,5609,10,1
MPC1,51660,10,2
RAD51,5888,10,3
YTHDF2,51441,10,1
BBC3,27113,9,3
CASP9,842,9,3
CDKN1A,1026,9,2
MAPK9,5601,9,2
NFE2L2,4780,9,3
SIRT1,23411,9,2
TF,7018,9,2
VEGFA,7422,9,2
ATR,545,8,2
CCND1,595,8,3
CTNNB1,1499,8,2
FSHR,2492,8,1
INSR,3643,8,2
MAP1LC3B,81631,8,2
MIR143,406935,8,1
OGG1,4968,8,3
BCL2L1,598,7,2
CCNB1,891,7,3
CDKN1B,1027,7,3
FYN,2534,7,1
GPX1,2876,7,4
IRS1,3667,7,3
MYC,4609,7,2
SQSTM1,8878,7,2
STAT3,6774,7,1
TXN2,25828,7,2
BECN1,8678,6,2
CDH1,999,6,1
CDK1,983,6,3
CDKN2A,1029,6,3
ESR2,2100,6,2
FSHB,2488,6,1
HDAC1,3065,6,2
IFNG,3458,6,3
INS,3630,6,4
IRF7,3665,6,2
MT1,17748,6,1
MTF1,4520,6,2
MTOR,2475,6,2
NCF1,653361,6,1
NOS2,4843,6,2
PLK1,5347,6,1
PRDX3,10935,6,3
RPS6KB1,6198,6,3
STAR,6770,6,2
AHR,196,5,2
AR,367,5,1
BRCA2,675,5,3
BTD,686,5,2
CASP7,840,5,2
CDK2,1017,5,3
CYP1A,140634,5,1
GCLC,2729,5,3
HMGA2,8091,5,1
HMOX1A,791518,5,1
HRAS,3265,5,2
HSPA5,3309,5,2
KEAP1A,321837,5,1
LEP,3952,5,3
MAD1L1,8379,5,2
MAD2L1,4085,5,1
MSH2,4436,5,2
NFE2L2A,360149,5,1
NFKBIA,4792,5,2
SEMA3A,10371,5,2
SLC2A1,6513,5,3
TXN,7295,5,1
VDAC1,7416,5,1
ALDH3A1,218,4,1
BCL2L11,10018,4,2
BUB1B,701,4,1
CCND2,894,4,3
CDC25B,994,4,2
CREBBP,1387,4,2
E2F1,1869,4,1
EP300,2033,4,1
FOS,2353,4,3
GLI2,2736,4,1
GOT1,2805,4,1
HAVCR1,26762,4,2
HLCS,3141,4,1
HPRT1,3251,4,2
ICAM1,3383,4,2
IKBKB,3551,4,1
LHB,3972,4,1
MAP2K4,6416,4,1
MAPK10,5602,4,1
METTL3,56339,4,2
MMP1,4312,4,1
MMP9,4318,4,2
MSH6,2956,4,2
OLR1,4973,4,2
PCNA,5111,4,2
PINK1,65018,4,2
PRKN,5071,4,2
PRL,5617,4,2
RB1,5925,4,1
SIRT3,23410,4,1
SLC2A4,6517,4,2
SMC1A,8243,4,1
SMO,6608,4,1
TFRC,7037,4,3
TIMP1,7076,4,2
ABCA1,19,3,1
ACTA2,59,3,2
AIFM1,9131,3,2
ANXA1,301,3,2
APOA1,335,3,2
ASNS,440,3,2
ATF2,1386,3,1
ATM,472,3,2
AVP,551,3,1
BCL2A,570772,3,1
BRIP1,83990,3,2
BUB1,699,3,2
C3,718,3,3
CCNF,899,3,2
CDK4,1019,3,2
CDK6,1021,3,2
CLDN11,5010,3,2
CREB1A,573207,3,1
CYP1A2,1544,3,1
CYP1B1,1545,3,2
EGFR,1956,3,2
EGR1,1958,3,2
ESR1,2099,3,1
FBXO32,114907,3,2
GSK3B,2932,3,1
GSTA4,2941,3,3
GSTM1,2944,3,2
HK2,3099,3,2
HSD17B2,3294,3,2
LCK,3932,3,1
LDHA,3939,3,1
LYZ,4069,3,1
MCM2,4171,3,2
MMP2,4313,3,2
MT1A,4489,3,1
MT2A,4502,3,1
NEK3,4752,3,2
NOS3,4846,3,1
NOX1,27035,3,2
PLAUR,5329,3,2
PLK2,10769,3,2
PMAIP1,5366,3,1
POLA1,5422,3,2
POLB,5423,3,2
PPARGC1A,10891,3,2
SGK1,6446,3,2
SHBG,6462,3,2
SLC2A2,6514,3,3
SP1,6667,3,1
TAF1D,79101,3,2
TCF4,6925,3,1
TCP1,6950,3,3
TGFBI,7045,3,2
TOM20,40189,3,1
TOMM20,9804,3,1
TRP53,22059,3,1
UCP2,7351,3,2
VIM,7431,3,1
WRN,7486,3,1
XRCC1,7515,3,1
ZWINT,11130,3,2
ABCB1B,18669,2,2
ABCG2,9429,2,2
ACE,1636,2,2
ACSL4,2182,2,2
