Gene Symbol,Gene ID,Interaction Count,Organism Count
ATP7A,538,376,7
APP,351,174,9
SOD1,6647,133,16
ATP7B,540,119,5
SLC31A1,1317,114,5
PRNP,5621,89,9
CASP3,836,85,12
MT1,17748,85,6
MT2,17750,78,10
CAT,847,73,25
TP53,7157,57,4
HMOX1,3162,56,3
BAX,581,46,5
BCL2,596,42,4
CYP1A1,1543,39,4
TNF,7124,39,5
ATOX1,475,38,4
CP,1356,38,5
SOD2,6648,32,7
MAPK3,5595,31,5
MAPK1,5594,30,5
CCS,9973,28,3
NQO1,1728,26,4
CXCL8,3576,25,2
GSR,2936,25,12
NOS2,4843,25,4
CASP9,842,24,6
JUN,3725,23,4
MAPK8,5599,23,3
FASN,2194,22,6
MT2A,4502,22,3
SLC11A2,4891,22,3
EGFR,1956,20,3
ALB,213,19,3
ACHE,43,18,9
CYCS,54205,18,4
HIF1A,3091,18,4
RELA,5970,18,4
APOB,338,17,4
G6PD,2539,17,5
IL6,3569,17,4
MT1X,4501,17,2
SLC31A2,1318,17,2
SQSTM1,8878,17,4
VEGFA,7422,17,3
CTR1B,40989,16,1
GPC1,2817,16,3
MAP1LC3B,81631,16,3
MT3,4504,16,4
PON1,5444,16,2
AKT1,207,15,3
CASP7,840,15,4
FOS,2353,15,5
NFE2L2,4780,15,6
CDKN1A,1026,14,2
HSPA5,3309,14,5
IAPP,3375,14,3
SLC40A1,30061,14,3
CCL2,6347,13,2
LOX,4015,13,4
PARP1,142,13,2
COMMD1,150684,12,4
HSP70,403612,12,10
MTF1,4520,12,3
SREBF1,6720,12,5
TF,7018,12,4
BACE1,23621,11,2
CASP8,841,11,4
CTSB,1508,11,3
GLRX,2745,11,3
GSTA2,2939,11,2
IL1A,3552,11,5
MFN1,55669,11,2
MT1A,4489,11,2
MTNA,41202,11,1
PDE5A,8654,11,3
PTGS2,5743,11,3
SERPINE1,5054,11,2
ACACA,31,10,3
AKR1B1,231,10,3
CLU,1191,10,3
DNM1L,10059,10,1
ESR1,2099,10,1
FSHB,2488,10,2
GCLM,2730,10,2
HSP90AA1,3320,10,2
MFN2,9927,10,2
MMP2,4313,10,2
VIM,7431,10,4
CALB1,793,9,1
COX2,4513,9,6
CRYZ,1429,9,2
CTSD,1509,9,4
EGR1,1958,9,4
F3,2152,9,3
FDPS,2224,9,4
GADD45A,1647,9,3
GCLC,2729,9,3
HRAS,3265,9,1
HSP90B1,7184,9,4
HSPB1,3315,9,5
IL1B,3553,9,4
MKI67,4288,9,3
MT1F,4494,9,1
NFKB1,4790,9,3
NFKBIA,4792,9,4
OPA1,4976,9,1
PCNA,5111,9,4
PRDX1,5052,9,4
S100A4,6275,9,2
SNCA,6622,9,3
AHR,196,8,4
APLP2,334,8,3
CCNB1,891,8,3
CCND1,595,8,2
DDIT3,1649,8,3
GADD45B,4616,8,2
HNRNPA2B1,3181,8,2
HPX,3263,8,5
HSPA1A,3303,8,2
HSPA8,3312,8,3
HSPD1,3329,8,3
IGF1,3479,8,6
LPL,4023,8,3
LRP1,4035,8,2
MT1G,4495,8,1
PGR,5241,8,1
PPIA,5478,8,2
SOD3,6649,8,1
SP1,6667,8,2
ATF2,1386,7,2
BDNF,627,7,3
C1S,716,7,2
CCNB2,9133,7,3
CDK1,983,7,4
CLDN3,1365,7,4
CRYAB,1410,7,2
FTH1,2495,7,4
GPX1,2876,7,2
H2AX,3014,7,2
HMGCS1,3157,7,4
HSPA6,3310,7,1
HSPH1,10808,7,4
IFNG,3458,7,4
INSIG1,3638,7,3
LAMP1,3916,7,2
MAPT,4137,7,3
MCM2,4171,7,3
MTF-1,39089,7,1
MYC,4609,7,3
NPC1,4864,7,2
PAM,5066,7,3
PDIA3,2923,7,4
PGD,5226,7,4
PSEN1,5663,7,3
SEC61B,10952,7,4
TYR,7299,7,2
ACAT2,39,6,2
AP1S1,1174,6,1
APAF1,317,6,4
ATG5,9474,6,2
ATP7,32142,6,1
B2M,567,6,2
BID,637,6,3
CCN1,3491,6,2
CDKN1B,1027,6,2
CEBPB,1051,6,5
CKM,1158,6,3
CLDN1,9076,6,4
DNAJB1,3337,6,1
E2F1,1869,6,2
EPAS1,2034,6,3
FABP2,2169,6,2
FN1,2335,6,2
FOXO1,2308,6,1
FSHR,2492,6,1
GAPDH,2597,6,4
GLUD1,2746,6,4
GSK3B,2932,6,2
GSTA1,2938,6,1
HAMP,57817,6,2
HSPA1B,3304,6,3
ID2,3398,6,3
IDI1,3422,6,4
IGFBP3,3486,6,3
LGMN,5641,6,3
MAP2K1,5604,6,1
MAPK9,5601,6,3
MCM5,4174,6,4
MT,30282,6,5
MTOR,2475,6,4
MTTP,4547,6,2
NME1,4830,6,3
PRL,5617,6,2
RRAD,6236,6,4
S100A2,6273,6,1
SELENOP,6414,6,4
SLC30A1,7779,6,2
SPP1,6696,6,3
SPTAN1,6709,6,3
TXNRD1,7296,6,2
ABCC5,10057,5,3
AKR1A1,10327,5,4
ANGPTL4,51129,5,2
ANXA5,308,5,3
APOAI,281632,5,1
APOBA,566465,5,1
ARF1,375,5,3
ATF3,467,5,1
BCL2L1,598,5,3
CA2,760,5,3
CCNA2,890,5,2
CD36,948,5,2
CDC20,991,5,3
COL3A1,1281,5,2
COL4A1,1282,5,3
COX17,10063,5,1
COX5B,1329,5,3
CPT1A,1374,5,2
CTSC,1075,5,3
CTSL,1514,5,3
CXCL2,2920,5,2
CYBRD1,79901,5,3
CYP1A,140634,5,3
CYP2D6,1565,5,1
DHCR24,1718,5,4
DHRS3,9249,5,4
DUSP1,1843,5,3
EFEMP1,2202,5,2
FBLN1,2192,5,2
FBN1,2200,5,2
FTL,2512,5,3
GADD45G,10912,5,3
GPX2,2877,5,2
GSTP1,2950,5,4
HDGF,3068,5,2
HMGCR,3156,5,4
HNRNPK,3190,5,3
IDH,44291,5,1
IDH1,3417,5,3
ITGA3,3675,5,2
LAMB3,3914,5,2
LAMC2,3918,5,2
LDHA,3939,5,5
LITAF,9516,5,3
MAFF,23764,5,2
MAFG,4097,5,1
MCM3,4172,5,4
MET,4233,5,1
MT1B,4490,5,1
