Gene Symbol,Gene ID,Interaction Count,Organism Count
SLC11A2,4891,60,4
TF,7018,47,7
TFRC,7037,39,3
TNF,7124,30,3
SLC40A1,30061,26,4
HMOX1,3162,25,3
CASP3,836,24,4
CAT,847,22,4
ATP7A,538,20,2
CP,1356,19,4
FTH1,2495,18,5
FTL,2512,18,4
HAMP,57817,18,3
MAPK3,5595,17,3
MAPK1,5594,16,3
GSR,2936,15,5
HFE,3077,15,2
MAP1LC3B,81631,14,1
NFKBIA,4792,13,2
HIF1A,3091,12,3
AKT1,207,11,1
FTMT,94033,11,2
IL6,3569,11,3
ODC1,4953,11,1
SLC39A14,23516,11,1
TFR2,7036,11,3
BCL2,596,10,2
GPT,2875,10,1
SLC39A8,64116,10,3
IREB2,3658,9,2
MAP3K7,6885,9,1
PARP1,142,9,1
RELA,5970,9,2
ALB,213,8,3
APP,351,8,1
BAX,581,8,2
IL1B,3553,8,2
MCOLN1,57192,8,1
ACO2,50,7,1
BCL2L1,598,7,1
CHUK,1147,7,2
CYBRD1,79901,7,3
FTL1,14325,7,1
MT2A,4502,7,2
NFE2L2,4780,7,3
NOS2,4843,7,2
SNCA,6622,7,2
SOD2,6648,7,3
AQP4,361,6,2
CXCL8,3576,6,1
G6PD,2539,6,2
HRAS,3265,6,1
PIK3R1,5295,6,1
BMP6,654,5,2
CCND1,595,5,2
FASN,2194,5,1
FECH,2235,5,2
FOS,2353,5,1
FXN,2395,5,2
GCLC,2729,5,2
LCN2,3934,5,1
NEIL1,79661,5,1
PMP22,5376,5,2
PON1,5444,5,2
SIRT1,23411,5,1
SLC6A1,6529,5,1
SOD1,6647,5,3
ACACA,31,4,1
ACO1,48,4,3
BECN1,8678,4,1
CD14,929,4,1
CPT1A,1374,4,1
GABBR2,9568,4,1
IKBKB,3551,4,1
JUN,3725,4,1
LTF,4057,4,1
MAP2K6,5608,4,1
MEN,47173,4,1
MT1A,4489,4,1
NQO1,1728,4,2
PIK3CA,5290,4,1
POR,5447,4,1
PRNP,5621,4,1
PTGS2,5743,4,2
RPE65,6121,4,2
TP53,7157,4,2
ACACB,32,3,1
ATM,472,3,2
CACNA1C,775,3,1
CCL2,6347,3,2
CTSK,1513,3,1
EPAS1,2034,3,2
GABRA1,2554,3,1
GOT1,2805,3,1
GSTA1,2938,3,1
GSTA4,2941,3,2
GSTM1,2944,3,1
HBB-B1,15129,3,1
HBB-B2,15130,3,1
HSPA1L,3305,3,1
HSPA9,3313,3,1
HSPH1,10808,3,2
ITGAM,3684,3,1
LEP,3952,3,0
LIPEA,568368,3,1
MMP1,4312,3,1
MMP9,4318,3,1
MT1,17748,3,1
MVL,42490,3,1
PGD,5226,3,1
PPARG,5468,3,2
SQSTM1,8878,3,1
STEAP3,55240,3,1
TNFSF11,8600,3,1
ALT,42127,2,1
ANKRD37,353322,2,2
B2M,567,2,2
BAD,572,2,1
CALR,811,2,1
CD36,948,2,1
CDKN1A,1026,2,2
DDIT3,1649,2,2
EDN1,1906,2,1
EGR1,1958,2,1
GAS1,2619,2,1
GCLM,2730,2,1
GPX1,2876,2,2
GPX2,2877,2,1
GPX4,2879,2,1
GSK3B,2932,2,1
GSS,2937,2,1
H3-4,8290,2,1
HEPH,9843,2,2
ICAM1,3383,2,1
IFNG,3458,2,1
IGFBP3,3486,2,2
IL1A,3552,2,1
IL8L1,395872,2,1
LITAF,9516,2,1
LOX,4015,2,1
MAOA,4128,2,2
MAP3K14,9020,2,1
MPO,4353,2,1
MTF1,4520,2,1
MYC,4609,2,1
NDRG1,10397,2,1
NDUFS1,4719,2,2
OCLN,100506658,2,1
PCNA,5111,2,1
PDGFA,5154,2,1
