Gene Symbol,Gene ID,Interaction Count,Organism Count
GSK3B,2932,27,4
AQP2,359,18,2
BCL2,596,13,3
BDNF,627,12,2
BAX,581,10,2
CASP3,836,9,2
CTNNB1,1499,9,2
IL1B,3553,8,2
FOS,2353,6,2
HSPA5,3309,6,1
IL6,3569,6,1
MAPK1,5594,6,3
TNF,7124,6,2
MAP3K8,1326,5,1
ATP1A1,476,4,2
MAPK3,5595,4,3
NFE2L2,4780,4,2
PRKCA,5578,4,1
PTH,5741,4,2
SLC13A2,9058,4,4
SLC9A1,6548,4,2
TP53,7157,4,3
AKT1,207,3,1
AVP,551,3,1
CASP12,100506742,3,1
CDKN1A,1026,3,2
CDKN1B,1027,3,1
EZR,7430,3,1
GRIK2,2898,3,2
HHEX,3087,3,1
HSP90B1,7184,3,1
MAPT,4137,3,2
NFKB1,4790,3,1
NOS1,4842,3,1
NR3C1,2908,3,2
SLC12A1,6557,3,1
TAC1,6863,3,1
VEGFA,7422,3,2
ABCB1B,18669,2,1
ADCY5,111,2,0
APP,351,2,2
AQP3,360,2,1
AQP6,363,2,1
BAG1,573,2,1
CALR,811,2,1
CAMK4,814,2,1
CASP8,841,2,1
CAT,847,2,2
CCL3,6348,2,1
CCL4,6351,2,1
CCL5,6352,2,1
CSF3,1440,2,1
CXCL2,2920,2,1
CXCL8,3576,2,1
DRD1,1812,2,1
EEF1A1,1915,2,2
FAS,355,2,1
GOT2,2806,2,1
GRIA2,2891,2,1
GRIA3,2892,2,2
GSK3A,2931,2,2
GSTM1,2944,2,1
GSTM5,2949,2,2
HMOX1,3162,2,2
HSD11B2,3291,2,1
HSPA9,3313,2,1
IL10,3586,2,1
IL4,3565,2,1
JUN,3725,2,1
LEF1,51176,2,2
MAPK8,5599,2,1
MIR21,406991,2,1
MIR29B1,407024,2,1
MIR34A,407040,2,1
NOS2,4843,2,1
NOS3,4846,2,1
NPY,4852,2,1
NTF3,4908,2,1
OXT,5020,2,1
PARP1,142,2,2
PAX8,7849,2,2
PLA2G4A,5321,2,1
PLP1,5354,2,1
POMC,5443,2,2
QARS1,5859,2,2
RELA,5970,2,2
RELN,5649,2,1
S100A6,6277,2,2
SCNN1G,6340,2,2
SLC14A2,8170,2,1
SLC17A6,57084,2,1
SLC17A7,57030,2,1
SLIT2,9353,2,1
SNCA,6622,2,2
SOD1,6647,2,1
TNNI3,7137,2,1
AANAT,15,1,1
ABCA1,19,1,1
ABCA7,10347,1,1
ABCB7,22,1,1
ACAA2,10449,1,1
ACAD8,27034,1,1
ACSL5,51703,1,1
ACTB,60,1,1
ACTR3,10096,1,1
ACTR3B,57180,1,1
ADAM10,102,1,1
ADK,132,1,1
ADNP2,22850,1,1
AGK,55750,1,1
ALDH1A3,220,1,1
ANKRD27,84079,1,1
ANTXR2,118429,1,1
ANXA2,302,1,1
ANXA4,307,1,1
ANXA5,308,1,1
APCS,325,1,1
APOE,348,1,1
APRT,353,1,1
ARG2,384,1,1
ARSB,411,1,1
ASL,435,1,1
ASNS,440,1,1
ATF2,1386,1,1
ATM,472,1,1
ATP1A2,477,1,1
ATP2A2,488,1,1
ATP5F1B,506,1,1
ATP5F1D,513,1,1
AUP1,550,1,1
BCAS1,8537,1,1
BIN1,274,1,1
BIRC5,332,1,1
BTBD9,114781,1,1
BUB1B,701,1,1
C3,718,1,1
CA2,760,1,1
CAM,36329,1,1
CAMKK2,10645,1,1
CASP4,837,1,1
CASP7,840,1,1
CBR3,874,1,1
CCNA1,8900,1,1
CCNB2,9133,1,1
CCND1,595,1,1
CCND2,894,1,1
CD151,977,1,1
CD33,945,1,1
CD34,947,1,1
CDCA3,83461,1,1
CDH1,999,1,1
CDH10,1008,1,1
CDIPT,10423,1,1
CDK5,1020,1,0
CEP170,9859,1,1
CFL1,1072,1,1
CHMP3,51652,1,1
CKB,1152,1,1
CLU,1191,1,1
COX5A,9377,1,1
COX5B,1329,1,1
CPE,1363,1,1
CPNE4,131034,1,1
CREB1,1385,1,1
CRIP1,1396,1,1
CRYAB,1410,1,1
CS,1431,1,1
CTSD,1509,1,1
CYC1,1537,1,1
CYGB,114757,1,1
DBNL,28988,1,1
DCAKD,79877,1,1
DDR2,4921,1,1
DDX21,9188,1,1
DISC1,27185,1,1
DLG4,1742,1,1
DLGAP3,58512,1,1
DLGAP4,22839,1,1
DRD2,1813,1,1
DUSP1,1843,1,1
DYNC1I2,1781,1,1
DYNLRB1,83658,1,1
ECH1,1891,1,1
ECT2,1894,1,1
EEF1E1,9521,1,1
EEF1G,1937,1,1
