Gene Symbol,Gene ID,Interaction Count,Organism Count
SOD1,6647,18,4
CASP3,836,10,3
CASP1,834,9,2
IL1B,3553,9,3
MAPK1,5594,9,2
MAPK3,5595,9,2
IL6,3569,8,2
CAT,847,7,3
INS1,16333,7,2
TNF,7124,7,2
BCL2,596,6,3
CCL2,6347,6,2
CP,1356,6,4
FGF2,2247,6,1
HMOX1,3162,6,2
NLRP3,114548,6,2
PTEN,5728,6,1
SLC31A1,1317,6,1
SP1,6667,6,1
VDAC1,7416,6,2
VEGFA,7422,6,3
BAX,581,5,3
HSPA5,3309,5,2
AHR,196,4,3
CYCS,54205,4,1
EGF,1950,4,1
EIF2AK3,9451,4,2
ICAM1,3383,4,2
ITPR1,3708,4,1
MFN1,55669,4,2
MFN2,9927,4,2
SOD2,6648,4,2
VCAM1,7412,4,2
XDH,7498,4,3
AKT1,207,3,2
APP,351,3,1
BAK1,578,3,1
CASP8,841,3,2
ERO1A,30001,3,2
GSDMD,79792,3,1
IGF1,3479,3,1
IRS4,8471,3,1
PTPN1,5770,3,1
PYCARD,29108,3,1
TGFB1,7040,3,2
TP53,7157,3,2
AQP1,358,2,1
ATG14,22863,2,1
ATG5,9474,2,1
ATP7B,540,2,2
BCL2L11,10018,2,1
BCL2L2,599,2,1
BECN1,8678,2,1
CCS,9973,2,2
EGFR,1956,2,1
ELN,2006,2,1
EP300,2033,2,1
ERP44,23071,2,1
FBLN1,2192,2,1
FBLN5,10516,2,1
FBN1,2200,2,1
FOXO1,2308,2,1
FOXO3,2309,2,1
FUNDC1,139341,2,1
GPT,2875,2,2
GSDME,1687,2,1
HBEGF,1839,2,1
HIF1A,3091,2,1
HSP90B1,7184,2,1
IL18,3606,2,1
IL2RA,3559,2,2
INSR,3643,2,1
ITGB3,3690,2,1
ITPR2,3709,2,1
LDHA,3939,2,1
LIF,3976,2,1
LOX,4015,2,1
MMP2,4313,2,1
MMP9,4318,2,1
NEK7,140609,2,1
NQO1,1728,2,1
SIRT1,23411,2,1
SIRT3,23410,2,1
SMAD2,4087,2,1
SMAD3,4088,2,1
TIMP1,7076,2,1
TIMP2,7077,2,1
UQCRC1,7384,2,1
ACACA,31,1,1
AGTR2,186,1,1
ALPL,249,1,1
ANGPT2,285,1,1
ATF6,22926,1,1
ATP7A,538,1,1
C19ORF33,64073,1,1
CA2,760,1,1
CA4,762,1,1
CA5A,763,1,1
CA9,768,1,1
CALR,811,1,1
CASP7,840,1,1
CASP9,842,1,1
CCNB1,891,1,1
CD40,958,1,1
CD80,941,1,1
CDKN1A,1026,1,1
CEACAM5,1048,1,1
CEACAM6,4680,1,1
CKM,1158,1,1
CLDN18,51208,1,1
CLDN4,1364,1,1
COL1A1,1277,1,1
COL1A2,1278,1,1
COL3A1,1281,1,1
COX17,10063,1,1
COX5B,1329,1,1
CPT1A,1374,1,1
CRABP2,1382,1,1
CREBZF,58487,1,1
CSF3R,1441,1,1
CSTB,1476,1,1
CXCR4,7852,1,1
CYP17A1,1586,1,1
DLAT,1737,1,1
ERN1,2081,1,1
FCGR3B,2215,1,1
FDX1,2230,1,1
FGF1,2246,1,1
FOS,2353,1,1
FPR1,2357,1,1
GOT1,2805,1,1
GPRC5A,9052,1,1
GPX3,2878,1,1
GSDMA,284110,1,1
GSR,2936,1,1
HBB,3043,1,1
HERPUD1,9709,1,1
HLA-DPA1,3113,1,1
HMGCS2,3158,1,1
HSPA9,3313,1,1
IFITM2,10581,1,1
IGF1R,3480,1,1
IGFBP7,3490,1,1
IGLL5,100423062,1,1
IL1A,3552,1,1
IL2,3558,1,1
ITGB4,3691,1,1
ITGB6,3694,1,1
IVL,3713,1,1
JAG1,182,1,1
JCHAIN,3512,1,1
KLF2,10365,1,1
KRT19,3880,1,1
KRT7,3855,1,1
LAMB3,3914,1,1
LCN2,3934,1,1
LST1,7940,1,1
MAP1LC3A,84557,1,1
MAP1LC3B,81631,1,1
MAP2K1,5604,1,0
MAPT,4137,1,1
MCU,90550,1,1
MGP,4256,1,1
MICU1,10367,1,1
MICU2,221154,1,1
MIR196B,442920,1,1
MNDA,4332,1,1
MTOR,2475,1,1
MYO1F,4542,1,1
NAMPT,10135,1,1
NCF1,653361,1,1
NDRG1,10397,1,1
NFE2L2,4780,1,1
NFKBIA,4792,1,1
NR3C1,2908,1,1
PAPSS1,9061,1,1
PCNA,5111,1,1
PDGFRB,5159,1,1
PIK3R1,5295,1,1
PLIN2,123,1,1
PPARA,5465,1,1
PRL,5617,1,1
PRSS1,5644,1,1
PTGS2,5743,1,1
PTK2,5747,1,1
PTPRC,5788,1,1
REG1A,5967,1,1
RGS2,5997,1,1
RHAMM,493183,1,1
RICTOR,253260,1,1
RIPOR2,9750,1,1
RPS6KB1,6198,1,1
RPTOR,57521,1,1
S100A8,6279,1,1
S100A9,6280,1,1
SFN,2810,1,1
SLC13A4,26266,1,1
SLC2A1,6513,1,1
SLC31A2,1318,1,1
SLC7A11,23657,1,1
SP3,6670,1,1
SPP1,6696,1,1
SRGN,5552,1,1
TACSTD2,4070,1,1
TAGLN,6876,1,1
TFB1M,51106,1,1
TFF1,7031,1,1
TFF3,7033,1,1
TM4SF1,4071,1,1
TNNI3,7137,1,1
TSC22D3,1831,1,1
TXNRD1,7296,1,1
VEGFB,7423,1,1
