Gene Symbol,Gene ID,Interaction Count,Organism Count
SLC10A1,6554,23,1
INS1,16333,18,2
SCN1B,6324,15,2
SCN10A,6336,14,1
REN,5972,13,3
SLC10A2,6555,13,1
SCN2A,6326,12,1
TRPV1,7442,12,3
SCN8A,6334,10,3
SCN2B,6327,9,2
SCN3A,6328,7,2
SCNN1A,6337,7,2
SCNN1G,6340,7,2
SLC5A8,160728,7,1
AGT,183,6,2
CCL2,6347,6,1
GH1,2688,6,2
PTGS2,5743,6,1
SCNN1B,6338,6,2
SLC5A1,6523,6,2
INS,3630,5,1
SCN3B,55800,5,1
SLC10A6,345274,5,1
SLC5A6,8884,5,2
EDN1,1906,4,2
POMC,5443,4,1
SCN9A,6335,4,2
SLC9A1,6548,4,1
SLC9A2,6549,4,1
FGF23,8074,3,1
KCNK1,3775,3,1
NOS1,4842,3,1
NOS3,4846,3,1
SLC28A1,9154,3,2
SLC6A11,6538,3,1
ATP1A1,476,2,1
CFTR,1080,2,1
EDN2,1907,2,1
EDN3,1908,2,1
GCG,2641,2,1
GIP,2695,2,1
IGF1,3479,2,1
IL1B,3553,2,1
KLK1,3816,2,2
NR3C2,4306,2,0
SLC18A1,6570,2,1
SLC9A3,6550,2,1
SLC9A7,84679,2,1
TRPM4,54795,2,2
ADRB2,154,1,1
ALB,213,1,1
ATP12A,479,1,1
ATP1B1,481,1,1
BDKRB1,623,1,1
CACNA1E,777,1,1
COL1A2,1278,1,1
CP,1356,1,1
CXCL9,4283,1,1
CYP11B2,1585,1,1
EGR1,1958,1,1
FGF13,2258,1,1
FGF7,2252,1,1
GRM1,2911,1,1
HIF1A,3091,1,1
HSD11B2,3291,1,0
KCNH2,3757,1,1
NPR1,4881,1,1
PARA,32619,1,1
PPARG,5468,1,1
PROC,5624,1,1
RAMP1,10267,1,1
SCN11A,11280,1,1
SCN5A,6331,1,1
SCNN1D,6339,1,1
SCT,6343,1,1
SLC12A1,6557,1,1
SLC13A4,26266,1,1
SLC17A7,57030,1,1
SLC20A1,6574,1,1
SLC20A2,6575,1,1
SLC28A2,9153,1,1
SLC34A3,142680,1,1
SLC4A1,6521,1,1
SLC4A4,8671,1,1
SLC8A1,6546,1,1
SLC9B2,133308,1,1
SOD2,6648,1,1
TIPE,38504,1,1
TRPC6,7225,1,1
TRPM7,54822,1,1
TRPV4,59341,1,1
VDR,7421,1,1
