Gene Symbol,Gene ID,Interaction Count,Organism Count
HIF1A,3091,136,3
CXCL8,3576,109,1
IL1B,3553,100,4
TNF,7124,94,3
IL6,3569,83,3
CASP3,836,77,5
PTGS2,5743,67,3
TXNRD3,114112,59,2
CAT,847,53,8
INS1,16333,53,2
CASP9,842,45,4
MT2,17750,44,2
BAX,581,43,4
BCL2,596,43,4
MT1,17748,43,1
TP53,7157,39,2
VEGFA,7422,38,2
AKT1,207,37,3
IFNG,3458,37,3
CCL2,6347,36,3
MEG3,55384,32,2
NDRG1,10397,32,3
HMOX1,3162,31,4
PARP1,142,31,3
TGFB1,7040,31,3
BECN1,8678,30,3
SELENOM,140606,29,1
ACTA2,59,27,3
CDH1,999,27,4
MAPK1,5594,27,2
ATG7,10533,26,3
MAPK3,5595,26,2
MTOR,2475,26,3
CDKN1A,1026,25,3
ICAM1,3383,25,3
MYC,4609,25,4
CASP1,834,24,3
CD86,942,24,2
NFKBIA,4792,24,3
MAPK8,5599,23,3
CXCL1,2919,21,3
HK2,3099,21,3
CXCL10,3627,20,3
NLRP3,114548,20,3
CXCL2,2920,19,3
CYCS,54205,19,3
IL10,3586,19,3
JUN,3725,19,4
PDGFB,5155,19,2
SLC2A1,6513,19,3
ANGPTL4,51129,18,2
FN1,2335,18,3
LDHA,3939,18,3
MMP9,4318,18,3
NOS2,4843,18,4
SQSTM1,8878,18,4
IL12B,3593,17,1
KDM3A,55818,17,3
PYCARD,29108,17,3
BNIP3,664,16,3
IL18,3606,16,3
TLR4,7099,16,2
ATF3,467,15,3
RELA,5970,15,3
DDIT3,1649,14,3
GADD45A,1647,14,4
GAPDH,2597,14,4
IL2,3558,14,3
SERPINE1,5054,14,3
STAR,6770,14,1
VIM,7431,14,3
BAK1,578,13,3
CYP17A1,1586,13,1
IL5,3567,13,1
MT2A,4502,13,2
PIK3R1,5295,13,3
PRKCB,5579,13,2
ACO1,48,12,1
CD83,9308,12,1
CYP11A1,1583,12,1
GSTM2,2946,12,3
H2AX,3014,12,1
MYD88,4615,12,1
STAT1,6772,12,3
ATG5,9474,11,3
CASP7,840,11,3
CCL4,6351,11,2
GPT,2875,11,2
MAP1LC3A,84557,11,3
MMP2,4313,11,2
NFKB1,4790,11,2
NOS3,4846,11,3
SOD2,6648,11,4
BCL2L1,598,10,2
CASP12,100506742,10,1
FOS,2353,10,3
HSPA5,3309,10,2
IKBKB,3551,10,2
NFE2L2,4780,10,2
PGR,5241,10,1
PPARGC1A,10891,10,2
SFTPB,6439,10,1
SLC16A3,9123,10,4
SOD1,6647,10,5
SP1,6667,10,2
SPRY2,10253,10,1
TRP53,22059,10,1
CASR,846,9,1
CCL20,6364,9,2
CCL3,6348,9,2
CCL7,6354,9,3
CCND1,595,9,3
CTH,1491,9,3
CYP1B1,1545,9,3
GSR,2936,9,4
H3-4,8290,9,2
JUNB,3726,9,3
MAP1LC3B,81631,9,3
MIR152,406943,9,1
PGK1,5230,9,3
TP63,8626,9,1
TSLP,85480,9,2
AIM2,9447,8,2
CCL22,6367,8,3
CCNG2,901,8,3
CCR7,1236,8,1
CGA,1081,8,2
COL1A2,1278,8,5
CXCR4,7852,8,2
G6PD,2539,8,3
GPX4,2879,8,3
IER3,8870,8,3
IL12A,3592,8,1
IL1A,3552,8,2
IL27,246778,8,1
IRF1,3659,8,1
MCL1,4170,8,3
NQO1,1728,8,2
P4HA2,8974,8,3
TBX21,30009,8,2
TFAM,7019,8,1
TPI1,7167,8,2
ABCB1,5243,7,2
CASP8,841,7,2
CCL17,6361,7,3
CEBPB,1051,7,3
COL1A1,1277,7,2
CTSC,1075,7,3
CXCL3,2921,7,2
CXCL5,6374,7,2
CXCL9,4283,7,3
CYP27A1,1593,7,2
EGLN1,54583,7,3
EPAS1,2034,7,2
FASN,2194,7,3
FIS1,51024,7,2
FOSL2,2355,7,2
GSDMD,79792,7,2
HSPA1A,3303,7,3
MAP2K6,5608,7,2
MIR21,406991,7,1
MPO,4353,7,2
PGF,5228,7,2
PKM,5315,7,2
PMAIP1,5366,7,1
PTGER2,5732,7,3
RECK,8434,7,1
SRC,6714,7,2
ADM,133,6,2
ALDH1A1,216,6,2
APOE,348,6,2
BID,637,6,2
BIRC5,332,6,2
CA9,768,6,1
CCL11,6356,6,3
CCL5,6352,6,2
CCR2,729230,6,1
CD40,958,6,1
CDH2,1000,6,1
CDKN2A,1029,6,3
CX3CL1,6376,6,3
CYP1A1,1543,6,3
DNM1L,10059,6,1
DUSP1,1843,6,3
EBI3,10148,6,1
F2,2147,6,2
FGF1,2246,6,3
FZD4,8322,6,2
GADD45B,4616,6,3
GCLC,2729,6,3
GPI1,14751,6,1
GPX1,2876,6,3
H2BC26,128312,6,1
HDC,3067,6,3
HSD17B3,3293,6,1
HSPA8,3312,6,3
IGF1,3479,6,3
JAK2,3717,6,2
LCN2,3934,6,3
LIPA,3988,6,2
MAPT,4137,6,2
MDM2,4193,6,2
MFN2,9927,6,1
MX1,4599,6,1
NINJ1,4814,6,2
PFKL,5211,6,1
RGS1,5996,6,2
SFPQ,6421,6,2
SLC7A5,8140,6,1
SMAD2,4087,6,1
SMAD3,4088,6,1
SPP1,6696,6,3
STAT3,6774,6,2
TET1,80312,6,1
TIMP1,7076,6,3
TNFAIP3,7128,6,1
TXNIP,10628,6,2
TXNRD1,7296,6,3
ABCG1,9619,5,3
AK4,205,5,2
ALB,213,5,3
ANPEP,290,5,3
AQP3,360,5,2
AREG,374,5,2
BIRC3,330,5,2
BTG1,694,5,2
C3,718,5,2
CCN1,3491,5,4
CD200,4345,5,2
CD274,29126,5,1
CD36,948,5,2
CD44,960,5,1
CDC25B,994,5,2
CREB1,1385,5,2
CREM,1390,5,1
CSF2,1437,5,3
CTSL,1514,5,2
CXCL11,6373,5,3
CXCL16,58191,5,2
CYBB,1536,5,3
DDIT4,54541,5,2
DNMT1,1786,5,1
E2F1,1869,5,2
EGFR,1956,5,3
EGLN3,112399,5,4
EGR1,1958,5,2
EMILIN2,84034,5,3
ESR1,2099,5,1
FGL2,10875,5,2
FHIT,2272,5,2
FTH1,2495,5,4
GBE1,2632,5,4
GBP1,2633,5,2
GCLM,2730,5,2
GLI1,2735,5,2
GLUL,2752,5,1
GM2A,2760,5,3
GPD1,2819,5,3
GSTM3,2947,5,2
HOTAIRM1,100506311,5,2
IFITM1,8519,5,2
IGFBP6,3489,5,3
IL4RA,16190,5,2
IL7,3574,5,2
IL7R,3575,5,2
IPO4,79711,5,3
IRF8,3394,5,2
KLF6,1316,5,3
LEP,3952,5,2
LGALS3,3958,5,3
LOX,4015,5,2
LYN,4067,5,2
MAFF,23764,5,3
MAPK14,1432,5,2
MGST1,4257,5,2
MID1,4281,5,2
MIR203A,406986,5,1
MLH1,4292,5,3
MMP12,4321,5,3
MMP3,4314,5,2
MS4A7,58475,5,1
MST1R,4486,5,2
NCOA4,8031,5,2
NFIL3,4783,5,2
NMT2,9397,5,2
NREP,9315,5,1
PDE4B,5142,5,2
PLAGL1,5325,5,3
PSMB8,5696,5,2
PTCH1,5727,5,2
PTGER4,5734,5,1
PTTG1,9232,5,2
RTCA,8634,5,1
S100A8,6279,5,3
SEL1L,6400,5,2
SHH,6469,5,2
SLC2A3,6515,5,1
SLC40A1,30061,5,2
SLC43A3,29015,5,2
SLC7A11,23657,5,2
SMO,6608,5,2
STEAP4,79689,5,3
TFRC,7037,5,3
TGFA,7039,5,2
TGFBR1,7046,5,2
TIMP3,7078,5,2
TNFAIP2,7127,5,2
TNFAIP6,7130,5,1
USP28,57646,5,1
VCAM1,7412,5,2
VPS35,55737,5,2
WNT4,54361,5,2
ACTB,60,4,2
ADAM12,8038,4,2
AIFM2,84883,4,3
ALDOA,226,4,2
ANXA2,302,4,2
APCS,325,4,2
APOL2,23780,4,2
AR,367,4,2
ARL4C,10123,4,1
ARNT,405,4,2
ARPC4,10093,4,2
ATG1,39454,4,1
ATM,472,4,3
BBC3,27113,4,2
BCL2A1,597,4,1
BCL2L11,10018,4,2
BCL3,602,4,2
BTG2,7832,4,2
C1QB,713,4,1
C1S,716,4,2
CABLES1,91768,4,2
CACNA1H,8912,4,3
CACNA1I,8911,4,1
CALR,811,4,3
CANX,821,4,3
CCL19,6363,4,2
CCL8,6355,4,2
CCR5,1234,4,2
CCR6,1235,4,2
CD80,941,4,2
CDKL2,8999,4,2
CDKN1B,1027,4,2
CDKN1C,1028,4,2
CDT1,81620,4,2
CFLAR,8837,4,2
CHI3L1,1116,4,3
CHRM4,1132,4,2
CHUK,1147,4,2
CIDEA,1149,4,3
CKS2,1164,4,2
CLCF1,23529,4,2
CLCN4,1183,4,2
CLU,1191,4,2
COL4A4,1286,4,2
COL8A1,1295,4,2
CPSF2,53981,4,2
CRLF2,64109,4,2
CRP,1401,4,1
CSNK1D,1453,4,2
CXCL12,6387,4,2
CXCL6,6372,4,1
DAB2,1601,4,2
DDX17,10521,4,3
DENND1B,163486,4,2
DOCK10,55619,4,2
DSG2,1829,4,2
DYNC2H1,79659,4,2
EEF2,1938,4,3
EGF,1950,4,2
ENO1,2023,4,3
ENO2,2026,4,2
EPDR1,54749,4,2
EPHA7,2045,4,1
ERO1A,30001,4,2
ETS2,2114,4,2
FABP3,2170,4,2
FBXO32,114907,4,2
FCGR2A,2212,4,2
FETUB,26998,4,4
FGF2,2247,4,2
FMO1,2326,4,3
FOSB,2354,4,2
FUNDC1,139341,4,1
GALNT2,2590,4,2
GAS2,2620,4,2
GATA3,2625,4,2
GBP4,115361,4,1
GLRX,2745,4,2
GNA15,2769,4,2
GPAT3,84803,4,1
GPNMB,10457,4,2
GREM1,26585,4,2
GRIA2,2891,4,1
GSK3B,2932,4,2
GSTM4,2948,4,2
GSTT1,2952,4,2
HBB,3043,4,2
HMGCS1,3157,4,3
HSPA6,3310,4,1
ICAM2,3384,4,2
IFIH1,64135,4,1
IFT27,11020,4,2
IGFBP3,3486,4,2
IL13,3596,4,2
IL15,3600,4,1
IL17RA,23765,4,2
IL2RA,3559,4,1
IL32,9235,4,1
IL4,3565,4,1
INHBB,3625,4,1
INPP5D,3635,4,2
ISYNA1,51477,4,1
ITGA7,3679,4,2
ITIH4,3700,4,3
JCHAIN,3512,4,2
JUND,3727,4,3
KCNMA1,3778,4,1
KCTD4,386618,4,2
KIT,3815,4,3
KYNU,8942,4,1
LAMP3,27074,4,1
LDLR,3949,4,2
LEF1,51176,4,2
LGALS2,3957,4,2
LILRB4,11006,4,3
LITAF,9516,4,3
M6PR,4074,4,2
MAP3K1,4214,4,2
MAPK13,5603,4,3
MAPK9,5601,4,2
MCM5,4174,4,3
MFN1,55669,4,1
MGP,4256,4,1
MIR3120,100422882,4,1
MOXD1,26002,4,3
MT1F,4494,4,1
MT1G,4495,4,1
MTHFD2,10797,4,2
MX2,4600,4,2
MYOCD,93649,4,2
NAMPT,10135,4,2
NCAM1,4684,4,1
NCF2,4688,4,2
NDRG2,57447,4,2
NFATC4,4776,4,2
NFIX,4784,4,3
NFKB2,4791,4,2
NR1H3,10062,4,2
NRF1,4899,4,1
NRG1,3084,4,1
NUP214,8021,4,2
ODC1,4953,4,2
OGDH,4967,4,2
OSMR,9180,4,2
PBX1,5087,4,2
PDZD2,23037,4,1
PELO,53918,4,3
PFKFB3,5209,4,2
PIGM,93183,4,1
PLAUR,5329,4,2
PLG,5340,4,4
PLK3,1263,4,3
PLPP3,8613,4,2
PLSCR1,5359,4,1
PPARG,5468,4,2
