Gene Symbol,Gene ID,Interaction Count,Organism Count
FGF23,8074,8,2
PTH,5741,8,1
FTL,2512,4,2
GPX4,2879,4,2
CYP24A1,1591,3,2
HNRNPD,3184,3,1
VDR,7421,3,1
NCOR1,9611,2,1
RARRES1,5918,2,1
SERPINE1,5054,2,1
THBD,7056,2,1
THBS1,7057,2,1
TNFRSF11B,4982,2,1
AADAC,13,1,1
ALB,213,1,1
ALPL,249,1,1
APOE,348,1,1
B4GALT1,2683,1,1
BMP4,652,1,1
CASR,846,1,1
CD14,929,1,1
CES1,1066,1,1
COL15A1,1306,1,1
COL18A1,80781,1,1
COL1A1,1277,1,1
CP,1356,1,1
CPN2,1370,1,1
CPT1A,1374,1,1
CRIP1,1396,1,1
CST1,1469,1,1
CTDSPL,10217,1,1
CXCL8,3576,1,1
CYP1B1,1545,1,1
CYP27B1,1594,1,1
CYP2B6,1555,1,1
DTNA,1837,1,1
EDNRB,1910,1,1
FABP3,2170,1,1
FAM106A,80039,1,1
FBLN2,2199,1,1
GHRHR,2692,1,1
HEXA,3073,1,1
ID3,3399,1,1
IL11,3589,1,1
IL1A,3552,1,1
IL1B,3553,1,1
IL1RN,3557,1,1
IL24,11009,1,1
IL36RN,26525,1,1
IL6,3569,1,1
KHSRP,8570,1,1
KL,9365,1,1
MAP4,4134,1,1
MAPK13,5603,1,1
MCAM,4162,1,1
MELTF,4241,1,1
MGP,4256,1,1
MRPL33,9553,1,1
NR4A1,3164,1,1
NR4A2,4929,1,1
PEX11A,8800,1,1
PHEX,5251,1,1
POSTN,10631,1,1
PPARG,5468,1,1
PRRC2C,23215,1,1
PTGS1,5742,1,1
PTGS2,5743,1,1
RELA,5970,1,1
REN1,19701,1,1
RGS4,5999,1,1
SLC13A4,26266,1,1
SMC3,9126,1,1
SOD3,6649,1,1
SON,6651,1,1
SPAG11A,653423,1,1
SPIB,6689,1,1
SPP1,6696,1,1
TGFB3,7043,1,1
TNXB,7148,1,1
TPR,7175,1,1
TREM1,54210,1,1
UROD,7389,1,1
