Gene Symbol,Gene ID,Interaction Count,Organism Count
TNF,7124,71,4
CAT,847,63,8
HMOX1,3162,62,5
CYP1A1,1543,57,3
CASP3,836,56,4
MT1,17748,54,1
NFE2L2,4780,52,4
ALAD,210,49,4
MT2,17750,49,2
PTGS2,5743,43,4
SOD1,6647,42,10
APP,351,41,3
NQO1,1728,41,5
IL1B,3553,35,5
IL6,3569,30,4
BAX,581,27,4
BCL2,596,27,4
HSPA5,3309,25,4
MAPK3,5595,24,3
MAPK1,5594,22,3
NOS2,4843,22,3
RELA,5970,22,4
CASP9,842,19,3
GFAP,2670,19,4
SOD2,6648,19,6
IFNG,3458,16,2
CTNNB1,1499,14,3
CXCL8,3576,14,2
IL10,3586,14,2
SIRT1,23411,14,2
TP53,7157,14,2
BACE1,23621,13,3
NLRP3,114548,13,2
PLA2G4A,5321,13,1
SQSTM1,8878,13,3
SYN1,6853,13,2
CYP1A2,1544,12,2
FTH1,2495,12,3
HCRT,3060,12,1
RUNX2,860,12,3
SLC7A11,23657,12,2
WNT3A,89780,12,1
ACHE,43,11,2
ALB,213,11,4
ALDH2,217,11,2
CASP1,834,11,2
DKK1,22943,11,2
GPX4,2879,11,1
GSR,2936,11,5
GSTA1,2938,11,2
HCRTR1,3061,11,1
NCAM1,4684,11,2
PINK1,65018,11,2
RB1,5925,11,2
VDR,7421,11,1
BDNF,627,10,3
CREB1,1385,10,3
IL18,3606,10,1
KEAP1,9817,10,3
OCLN,100506658,10,1
AHR,196,9,4
BACH1,571,9,2
MRC1,4360,9,2
PRKN,5071,9,2
SLC2A1,6513,9,3
SLC39A8,64116,9,2
TFRC,7037,9,2
ATF5,22809,8,1
CRYZ,1429,8,1
DNMT3A,1788,8,2
ESR1,2099,8,1
GJA1,2697,8,2
GPT,2875,8,3
GSTA2,2939,8,2
GSTT1,2952,8,2
PGR,5241,8,1
PPIF,10105,8,1
PRKCA,5578,8,1
AIFM1,9131,7,1
CYP7A1,1581,7,2
EGFR,1956,7,2
FOS,2353,7,3
HDAC2,3066,7,2
HMGCR,3156,7,3
IL17A,3605,7,1
IL4,3565,7,1
MECP2,4204,7,3
NCOA4,8031,7,2
NFE2L2A,360149,7,2
SYP,6855,7,2
AKT1,207,6,2
ARC,23237,6,1
BECN1,8678,6,2
CRP,1401,6,1
GGT1,2678,6,1
GRIN1,2902,6,2
GSK3B,2932,6,2
GSTM1,2944,6,1
GSTP1,2950,6,2
HSP90B1,7184,6,3
IL1A,3552,6,1
MAP1LC3B,81631,6,2
MKI67,4288,6,3
PPARG,5468,6,3
SNCA,6622,6,3
SP1,6667,6,2
VAMP2,6844,6,3
XIAP,331,6,2
ARG1,383,5,1
BGLAP,632,5,3
CHD7,55636,5,2
CP,1356,5,2
DNMT1,1786,5,2
EIF2AK1,27102,5,1
GCLC,2729,5,2
HBB,3043,5,3
HSPA9,3313,5,2
IGF1,3479,5,3
LDLR,3949,5,1
MAPT,4137,5,2
MIR106B,406900,5,3
MIR34B,407041,5,3
MME,4311,5,2
MT2A,4502,5,1
MTOR,2475,5,2
NFKBIA,4792,5,3
NOS3,4846,5,2
NOX1,27035,5,1
NOX4,50507,5,2
PFKM,5213,5,2
PRKCD,5580,5,1
SLC11A2,4891,5,3
SLC2A3,6515,5,2
TF,7018,5,1
TGFB1,7040,5,1
TJP1,7082,5,2
AKR1C1,1645,4,2
AKR1C2,1646,4,2
APEX1,328,4,2
CCND1,595,4,1
CDC42,998,4,2
CDKN1A,1026,4,3
CLDN5,7122,4,2
COX1,4512,4,2
CYCS,54205,4,1
CYP1A,140634,4,1
DLG4,1742,4,1
EZH2,2146,4,2
FASN,2194,4,2
FOXP3,50943,4,2
GAP43,2596,4,1
GCLM,2730,4,2
GNAS,2778,4,2
GPX1,2876,4,2
GRIN2A,2903,4,1
GSTO1,9446,4,2
GUCY1B1,2983,4,0
HAP1,9001,4,1
HDAC4,9759,4,1
HFE,3077,4,1
HMGCS1,3157,4,2
HMOX1A,791518,4,1
HSP70,403612,4,3
HSPB1,3315,4,3
ITPR1,3708,4,1
JUN,3725,4,3
LAMP2,3920,4,3
LONP1,9361,4,1
NEDD4,4734,4,1
NFKB1,4790,4,2
NOS1,4842,4,3
NOTCH2,4853,4,1
PAX2A,30425,4,1
PAX6,5080,4,1
PDGFRA,5156,4,2
PI16,221476,4,1
PRKCE,5581,4,3
RBFOX3,146713,4,2
SLC40A1,30061,4,2
SLC6A1,6529,4,2
SNAP25,6616,4,3
SNRNP70,6625,4,1
SP3,6670,4,2
STEAP3,55240,4,1
TARDBP,23435,4,2
TG,7038,4,1
TSG101,7251,4,3
TSHBA,353223,4,1
TTR,7276,4,1
UBA1,7317,4,1
UCHL3,7347,4,1
WNT4,54361,4,2
WNT7A,7476,4,1
ABCB1,5243,3,3
ABCC1,4363,3,2
ABCC2,1244,3,2
AMIGO2,347902,3,1
ANO2,57101,3,1
ANXA1,301,3,2
APLP2,334,3,1
ARNT,405,3,3
ATG5,9474,3,2
ATP1A1,476,3,3
ATP7B,540,3,2
B2M,567,3,2
BAK1,578,3,1
CADM3,57863,3,1
CALB2,794,3,2
CAMK2D,817,3,2
CASP7,840,3,1
CASP8,841,3,2
CCL3,6348,3,2
CD14,929,3,1
CEH-14,181012,3,1
CHUK,1147,3,2
CLPP,8192,3,1
COL1A1,1277,3,2
CTH,1491,3,2
