Gene Symbol,Gene ID,Interaction Count,Organism Count
TNF,7124,89,5
MTF1,4520,67,5
INS1,16333,66,2
MT1,17748,63,9
MT1A,4489,59,3
SLC30A1,7779,52,6
MT2A,4502,49,5
PTGS2,5743,48,3
SOD1,6647,48,11
CAT,847,44,9
SLC39A4,55630,39,2
IL6,3569,38,5
PARP1,142,38,3
IL1B,3553,35,4
MAPK1,5594,35,4
APP,351,34,3
MT2,17750,34,9
MAPK3,5595,33,4
MT3,4504,33,5
CASP3,836,32,4
SLC39A10,57181,30,6
AKT1,207,28,4
HMOX1,3162,28,4
OPRM1,4988,23,2
RELA,5970,22,5
TRP53,22059,22,1
PLAT,5327,21,2
SLC30A2,7780,21,4
CXCL8,3576,19,2
IFNG,3458,18,2
BCL2,596,17,5
EGFR,1956,17,3
PLG,5340,17,2
SLC39A1,27173,17,4
SLC39A8,64116,17,4
TP53,7157,17,4
XPA,7507,17,1
SLC39A7,7922,16,2
IGF1,3479,15,4
S100A8,6279,15,3
SLC39A6,25800,15,4
NFE2L2,4780,14,5
SLC30A3,7781,14,3
IL1A,3552,13,2
MT1X,4501,13,2
BAX,581,12,5
GSR,2936,12,5
PRKCG,5582,12,1
S100A9,6280,12,3
BDNF,627,11,1
CASP9,842,11,3
VCAM1,7412,11,4
CCL2,6347,10,2
EP300,2033,10,2
GH1,2688,10,2
ICAM1,3383,10,2
NFKB1,4790,10,3
SLC30A5,64924,10,2
SLC30A7,148867,10,4
SOD2,6648,10,4
CCND1,595,9,3
EGR1,1958,9,2
PPARG,5468,9,6
SLC11A2,4891,9,4
SLC39A13,91252,9,3
SLC39A3,29985,9,2
SP1,6667,9,3
SRC,6714,9,2
CDKN1A,1026,8,3
G6PD,2539,8,4
IL2,3558,8,3
JUN,3725,8,3
KRT14,3861,8,3
MAPK8,5599,8,3
PPARA,5465,8,4
SLC15A1,6564,8,2
SLC39A5,283375,8,2
TFRC,7037,8,1
TNFAIP3,7128,8,1
ZBP1,81030,8,2
AGT,183,7,2
APOB,338,7,3
CLU,1191,7,2
FOS,2353,7,3
GPT,2875,7,3
GSK3B,2932,7,2
HSF1,3297,7,1
HSPA1A,3303,7,2
IGF1R,3480,7,2
IL10,3586,7,2
INSR,3643,7,2
LEP,3952,7,3
MT1G,4495,7,1
NFIC,4782,7,1
NOS2,4843,7,2
NOTCH1,4851,7,1
NQO1,1728,7,3
PRNP,5621,7,2
RAF1,5894,7,1
SLC39A14,23516,7,2
STAT3,6774,7,3
ACHE,43,6,2
ALB,213,6,2
APLP1,333,6,1
APLP2,334,6,1
COL1A1,1277,6,2
CP,1356,6,2
FCER1A,2205,6,1
GCLC,2729,6,2
GHR,2690,6,1
GLRA1,2741,6,3
GUCA2B,2981,6,1
HBEGF,1839,6,1
HIF1A,3091,6,1
IREB2,3658,6,2
KEAP1,9817,6,1
MMP9,4318,6,3
MT1M,4499,6,1
NFKBIA,4792,6,2
SLC12A5,57468,6,1
SLC30A10,55532,6,2
SLC30A4,7782,6,2
SLC30A8,169026,6,2
SLC40A1,30061,6,3
SQSTM1,8878,6,2
STAT1,6772,6,2
TH,7054,6,3
AGER,177,5,2
BGLAP,632,5,2
CCNB1,891,5,2
