ID,Description
mmu04081,Hormone signaling - Mus musculus (house mouse)
mmu04270,Vascular smooth muscle contraction - Mus musculus (house mouse)
mmu00590,Arachidonic acid metabolism - Mus musculus (house mouse)
mmu00830,Retinol metabolism - Mus musculus (house mouse)
mmu03320,PPAR signaling pathway - Mus musculus (house mouse)
mmu00071,Fatty acid degradation - Mus musculus (house mouse)
mmu00140,Steroid hormone biosynthesis - Mus musculus (house mouse)
mmu00030,Pentose phosphate pathway - Mus musculus (house mouse)
mmu00561,Glycerolipid metabolism - Mus musculus (house mouse)
mmu00051,Fructose and mannose metabolism - Mus musculus (house mouse)
