ID,Description
mmu04020,Calcium signaling pathway - Mus musculus (house mouse)
mmu04022,cGMP-PKG signaling pathway - Mus musculus (house mouse)
mmu04514,Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse)
mmu04740,Olfactory transduction - Mus musculus (house mouse)
mmu04933,AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)
mmu04612,Antigen processing and presentation - Mus musculus (house mouse)
mmu04640,Hematopoietic cell lineage - Mus musculus (house mouse)
mmu00830,Retinol metabolism - Mus musculus (house mouse)
mmu00980,Metabolism of xenobiotics by cytochrome P450 - Mus musculus (house mouse)
mmu00982,Drug metabolism - cytochrome P450 - Mus musculus (house mouse)
mmu00983,Drug metabolism - other enzymes - Mus musculus (house mouse)
mmu05204,Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)
