ID,Description
mmu00512,Mucin type O-glycan biosynthesis - Mus musculus (house mouse)
mmu01250,Biosynthesis of nucleotide sugars - Mus musculus (house mouse)
mmu00510,N-Glycan biosynthesis - Mus musculus (house mouse)
mmu05100,Bacterial invasion of epithelial cells - Mus musculus (house mouse)
mmu04540,Gap junction - Mus musculus (house mouse)
mmu00514,Other types of O-glycan biosynthesis - Mus musculus (house mouse)
mmu00520,Amino sugar and nucleotide sugar metabolism - Mus musculus (house mouse)
mmu04514,Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse)
mmu05321,Inflammatory bowel disease - Mus musculus (house mouse)
mmu04672,Intestinal immune network for IgA production - Mus musculus (house mouse)
