ID,Description
mmu04820,"Cytoskeleton in muscle cells - Mus musculus (house mouse)"
mmu04146,"Peroxisome - Mus musculus (house mouse)"
mmu04310,"Wnt signaling pathway - Mus musculus (house mouse)"
mmu04710,"Circadian rhythm - Mus musculus (house mouse)"
mmu04810,"Regulation of actin cytoskeleton - Mus musculus (house mouse)"
mmu04066,"HIF-1 signaling pathway - Mus musculus (house mouse)"
mmu04530,"Tight junction - Mus musculus (house mouse)"
mmu04020,"Calcium signaling pathway - Mus musculus (house mouse)"
mmu04152,"AMPK signaling pathway - Mus musculus (house mouse)"
mmu04151,"PI3K-Akt signaling pathway - Mus musculus (house mouse)"
mmu04510,"Focal adhesion - Mus musculus (house mouse)"
mmu00280,"Valine, leucine and isoleucine degradation - Mus musculus (house mouse)"
mmu00071,"Fatty acid degradation - Mus musculus (house mouse)"
mmu04350,"TGF-beta signaling pathway - Mus musculus (house mouse)"
mmu04068,"FoxO signaling pathway - Mus musculus (house mouse)"
mmu04520,"Adherens junction - Mus musculus (house mouse)"
mmu04910,"Insulin signaling pathway - Mus musculus (house mouse)"
mmu04814,"Motor proteins - Mus musculus (house mouse)"
