ID,Description
mmu04614,Renin-angiotensin system - Mus musculus (house mouse)
mmu04925,Aldosterone synthesis and secretion - Mus musculus (house mouse)
mmu04022,cGMP-PKG signaling pathway - Mus musculus (house mouse)
mmu04072,Phospholipase D signaling pathway - Mus musculus (house mouse)
mmu04371,Apelin signaling pathway - Mus musculus (house mouse)
mmu04081,Hormone signaling - Mus musculus (house mouse)
mmu04933,AGE-RAGE signaling pathway in diabetic complications - Mus musculus (house mouse)
mmu04934,Cushing syndrome - Mus musculus (house mouse)
mmu00590,Arachidonic acid metabolism - Mus musculus (house mouse)
mmu00591,Linoleic acid metabolism - Mus musculus (house mouse)
mmu00830,Retinol metabolism - Mus musculus (house mouse)
mmu04750,Inflammatory mediator regulation of TRP channels - Mus musculus (house mouse)
mmu04144,Endocytosis - Mus musculus (house mouse)
mmu04514,Cell adhesion molecule (CAM) interaction - Mus musculus (house mouse)
mmu05204,Chemical carcinogenesis - DNA adducts - Mus musculus (house mouse)
mmu05207,Chemical carcinogenesis - receptor activation - Mus musculus (house mouse)
mmu05418,Fluid shear stress and atherosclerosis - Mus musculus (house mouse)
